"Code","Description"
"A","Agriculture, hunting and forestry"
"01","Agriculture, hunting and related service activities"
"011","Growing of crops; market gardening; horticulture"
"0111","Growing of cereals and other crops n.e.c."
"0112","Growing of vegetables, horticultural specialties and nursery products"
"0113","Growing of fruit, nuts, beverage and spice crops"
"012","Farming of animals"
"0121","Farming of cattle, sheep, goats, horses, asses, mules and hinnies; dairy farming"
"0122","Other animal farming; production of animal products n.e.c."
"013","Growing of crops combined with farming of animals (mixed farming)"
"0130","Growing of crops combined with farming of animals (mixed farming)"
"014","Agricultural and animal husbandry service activities, except veterinary activities"
"0140","Agricultural and animal husbandry service activities, except veterinary activities"
"015","Hunting, trapping and game propagation including related service activities"
"0150","Hunting, trapping and game propagation including related service activities"
"02","Forestry, logging and related service activities"
"020","Forestry, logging and related service activities"
"0200","Forestry, logging and related service activities"
"B","Fishing"
"05","Fishing, aquaculture and service activities incidental to fishing"
"050","Fishing, aquaculture and service activities incidental to fishing"
"0501","Fishing"
"0502","Aquaculture"
"C","Mining and quarrying"
"10","Mining of coal and lignite; extraction of peat"
"101","Mining and agglomeration of hard coal"
"1010","Mining and agglomeration of hard coal"
"102","Mining and agglomeration of lignite"
"1020","Mining and agglomeration of lignite"
"103","Extraction and agglomeration of peat"
"1030","Extraction and agglomeration of peat"
"11","Extraction of crude petroleum and natural gas; service activities incidental to oil and gas extraction, excluding surveying"
"111","Extraction of crude petroleum and natural gas"
"1110","Extraction of crude petroleum and natural gas"
"112","Service activities incidental to oil and gas extraction excluding surveying"
"1120","Service activities incidental to oil and gas extraction excluding surveying"
"12","Mining of uranium and thorium ores"
"120","Mining of uranium and thorium ores"
"1200","Mining of uranium and thorium ores"
"13","Mining of metal ores"
"131","Mining of iron ores"
"1310","Mining of iron ores"
"132","Mining of non-ferrous metal ores, except uranium and thorium ores"
"1320","Mining of non-ferrous metal ores, except uranium and thorium ores"
"14","Other mining and quarrying"
"141","Quarrying of stone, sand and clay"
"1410","Quarrying of stone, sand and clay"
"142","Mining and quarrying n.e.c."
"1421","Mining of chemical and fertilizer minerals"
"1422","Extraction of salt"
"1429","Other mining and quarrying n.e.c."
"D","Manufacturing"
"15","Manufacture of food products and beverages"
"151","Production, processing and preservation of meat, fish, fruit, vegetables, oils and fats"
"1511","Production, processing and preserving of meat and meat products"
"1512","Processing and preserving of fish and fish products"
"1513","Processing and preserving of fruit and vegetables"
"1514","Manufacture of vegetable and animal oils and fats"
"152","Manufacture of dairy products"
"1520","Manufacture of dairy products"
"153","Manufacture of grain mill products, starches and starch products, and prepared animal feeds"
"1531","Manufacture of grain mill products"
"1532","Manufacture of starches and starch products"
"1533","Manufacture of prepared animal feeds"
"154","Manufacture of other food products"
"1541","Manufacture of bakery products"
"1542","Manufacture of sugar"
"1543","Manufacture of cocoa, chocolate and sugar confectionery"
"1544","Manufacture of macaroni, noodles, couscous and similar farinaceous products"
"1549","Manufacture of other food products n.e.c."
"155","Manufacture of beverages"
"1551","Distilling, rectifying and blending of spirits; ethyl alcohol production from fermented materials"
"1552","Manufacture of wines"
"1553","Manufacture of malt liquors and malt"
"1554","Manufacture of soft drinks; production of mineral waters"
"16","Manufacture of tobacco products"
"160","Manufacture of tobacco products"
"1600","Manufacture of tobacco products"
"17","Manufacture of textiles"
"171","Spinning, weaving and finishing of textiles"
"1711","Preparation and spinning of textile fibres; weaving of textiles"
"1712","Finishing of textiles"
"172","Manufacture of other textiles"
"1721","Manufacture of made-up textile articles, except apparel"
"1722","Manufacture of carpets and rugs"
"1723","Manufacture of cordage, rope, twine and netting"
"1729","Manufacture of other textiles n.e.c."
"173","Manufacture of knitted and crocheted fabrics and articles"
"1730","Manufacture of knitted and crocheted fabrics and articles"
"18","Manufacture of wearing apparel; dressing and dyeing of fur"
"181","Manufacture of wearing apparel, except fur apparel"
"1810","Manufacture of wearing apparel, except fur apparel"
"182","Dressing and dyeing of fur; manufacture of articles of fur"
"1820","Dressing and dyeing of fur; manufacture of articles of fur"
"19","Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear"
"191","Tanning and dressing of leather; manufacture of luggage, handbags, saddlery and harness"
"1911","Tanning and dressing of leather"
"1912","Manufacture of luggage, handbags and the like, saddlery and harness"
"192","Manufacture of footwear"
"1920","Manufacture of footwear"
"20","Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials"
"201","Sawmilling and planing of wood"
"2010","Sawmilling and planing of wood"
"202","Manufacture of products of wood, cork, straw and plaiting materials"
"2021","Manufacture of veneer sheets; manufacture of plywood, laminboard, particle board and other panels and boards"
"2022","Manufacture of builders' carpentry and joinery"
"2023","Manufacture of wooden containers"
"2029","Manufacture of other products of wood; manufacture of articles of cork, straw and plaiting materials"
"21","Manufacture of paper and paper products"
"210","Manufacture of paper and paper products"
"2101","Manufacture of pulp, paper and paperboard"
"2102","Manufacture of corrugated paper and paperboard and of containers of paper and paperboard"
"2109","Manufacture of other articles of paper and paperboard"
"22","Publishing, printing and reproduction of recorded media"
"221","Publishing"
"2211","Publishing of books, brochures and other publications"
"2212","Publishing of newspapers, journals and periodicals"
"2213","Publishing of music"
"2219","Other publishing"
"222","Printing and service activities related to printing"
"2221","Printing"
"2222","Service activities related to printing"
"223","Reproduction of recorded media"
"2230","Reproduction of recorded media"
"23","Manufacture of coke, refined petroleum products and nuclear fuel"
"231","Manufacture of coke oven products"
"2310","Manufacture of coke oven products"
"232","Manufacture of refined petroleum products"
"2320","Manufacture of refined petroleum products"
"233","Processing of nuclear fuel"
"2330","Processing of nuclear fuel"
"24","Manufacture of chemicals and chemical products"
"241","Manufacture of basic chemicals"
"2411","Manufacture of basic chemicals, except fertilizers and nitrogen compounds"
"2412","Manufacture of fertilizers and nitrogen compounds"
"2413","Manufacture of plastics in primary forms and of synthetic rubber"
"242","Manufacture of other chemical products"
"2421","Manufacture of pesticides and other agrochemical products"
"2422","Manufacture of paints, varnishes and similar coatings, printing ink and mastics"
"2423","Manufacture of pharmaceuticals, medicinal chemicals and botanical products"
"2424","Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations"
"2429","Manufacture of other chemical products n.e.c."
"243","Manufacture of man-made fibres"
"2430","Manufacture of man-made fibres"
"25","Manufacture of rubber and plastics products"
"251","Manufacture of rubber products"
"2511","Manufacture of rubber tyres and tubes; retreading and rebuilding of rubber tyres"
"2519","Manufacture of other rubber products"
"252","Manufacture of plastics products"
"2520","Manufacture of plastics products"
"26","Manufacture of other non-metallic mineral products"
"261","Manufacture of glass and glass products"
"2610","Manufacture of glass and glass products"
"269","Manufacture of non-metallic mineral products n.e.c."
"2691","Manufacture of non-structural non-refractory ceramic ware"
"2692","Manufacture of refractory ceramic products"
"2693","Manufacture of structural non-refractory clay and ceramic products"
"2694","Manufacture of cement, lime and plaster"
"2695","Manufacture of articles of concrete, cement and plaster"
"2696","Cutting, shaping and finishing of stone"
"2699","Manufacture of other non-metallic mineral products n.e.c."
"27","Manufacture of basic metals"
"271","Manufacture of basic iron and steel"
"2710","Manufacture of basic iron and steel"
"272","Manufacture of basic precious and non-ferrous metals"
"2720","Manufacture of basic precious and non-ferrous metals"
"273","Casting of metals"
"2731","Casting of iron and steel"
"2732","Casting of non-ferrous metals"
"28","Manufacture of fabricated metal products, except machinery and equipment"
"281","Manufacture of structural metal products, tanks, reservoirs and steam generators"
"2811","Manufacture of structural metal products"
"2812","Manufacture of tanks, reservoirs and containers of metal"
"2813","Manufacture of steam generators, except central heating hot water boilers"
"289","Manufacture of other fabricated metal products; metalworking service activities"
"2891","Forging, pressing, stamping and roll-forming of metal; powder metallurgy"
"2892","Treatment and coating of metals; general mechanical engineering on a fee or contract basis"
"2893","Manufacture of cutlery, hand tools and general hardware"
"2899","Manufacture of other fabricated metal products n.e.c."
"29","Manufacture of machinery and equipment n.e.c."
"291","Manufacture of general-purpose machinery"
"2911","Manufacture of engines and turbines, except aircraft, vehicle and cycle engines"
"2912","Manufacture of pumps, compressors, taps and valves"
"2913","Manufacture of bearings, gears, gearing and driving elements"
"2914","Manufacture of ovens, furnaces and furnace burners"
"2915","Manufacture of lifting and handling equipment"
"2919","Manufacture of other general-purpose machinery"
"292","Manufacture of special-purpose machinery"
"2921","Manufacture of agricultural and forestry machinery"
"2922","Manufacture of machine tools"
"2923","Manufacture of machinery for metallurgy"
"2924","Manufacture of machinery for mining, quarrying and construction"
"2925","Manufacture of machinery for food, beverage and tobacco processing"
"2926","Manufacture of machinery for textile, apparel and leather production"
"2927","Manufacture of weapons and ammunition"
"2929","Manufacture of other special-purpose machinery"
"293","Manufacture of domestic appliances n.e.c."
"2930","Manufacture of domestic appliances n.e.c."
"30","Manufacture of office, accounting and computing machinery"
"300","Manufacture of office, accounting and computing machinery"
"3000","Manufacture of office, accounting and computing machinery"
"31","Manufacture of electrical machinery and apparatus n.e.c."
"311","Manufacture of electric motors, generators and transformers"
"3110","Manufacture of electric motors, generators and transformers"
"312","Manufacture of electricity distribution and control apparatus"
"3120","Manufacture of electricity distribution and control apparatus"
"313","Manufacture of insulated wire and cable"
"3130","Manufacture of insulated wire and cable"
"314","Manufacture of accumulators, primary cells and primary batteries"
"3140","Manufacture of accumulators, primary cells and primary batteries"
"315","Manufacture of electric lamps and lighting equipment"
"3150","Manufacture of electric lamps and lighting equipment"
"319","Manufacture of other electrical equipment n.e.c."
"3190","Manufacture of other electrical equipment n.e.c."
"32","Manufacture of radio, television and communication equipment and apparatus"
"321","Manufacture of electronic valves and tubes and other electronic components"
"3210","Manufacture of electronic valves and tubes and other electronic components"
"322","Manufacture of television and radio transmitters and apparatus for line telephony and line telegraphy"
"3220","Manufacture of television and radio transmitters and apparatus for line telephony and line telegraphy"
"323","Manufacture of television and radio receivers, sound or video recording or reproducing apparatus, and associated goods"
"3230","Manufacture of television and radio receivers, sound or video recording or reproducing apparatus, and associated goods"
"33","Manufacture of medical, precision and optical instruments, watches and clocks"
"331","Manufacture of medical appliances and instruments and appliances for measuring, checking, testing, navigating and other purposes, except optical instruments"
"3311","Manufacture of medical and surgical equipment and orthopaedic appliances"
"3312","Manufacture of instruments and appliances for measuring, checking, testing, navigating and other purposes, except industrial process control equipment"
"3313","Manufacture of industrial process control equipment"
"332","Manufacture of optical instruments and photographic equipment"
"3320","Manufacture of optical instruments and photographic equipment"
"333","Manufacture of watches and clocks"
"3330","Manufacture of watches and clocks"
"34","Manufacture of motor vehicles, trailers and semi-trailers"
"341","Manufacture of motor vehicles"
"3410","Manufacture of motor vehicles"
"342","Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers"
"3420","Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers"
"343","Manufacture of parts and accessories for motor vehicles and their engines"
"3430","Manufacture of parts and accessories for motor vehicles and their engines"
"35","Manufacture of other transport equipment"
"351","Building and repairing of ships and boats"
"3511","Building and repairing of ships"
"3512","Building and repairing of pleasure and sporting boats"
"352","Manufacture of railway and tramway locomotives and rolling stock"
"3520","Manufacture of railway and tramway locomotives and rolling stock"
"353","Manufacture of aircraft and spacecraft"
"3530","Manufacture of aircraft and spacecraft"
"359","Manufacture of transport equipment n.e.c."
"3591","Manufacture of motorcycles"
"3592","Manufacture of bicycles and invalid carriages"
"3599","Manufacture of other transport equipment n.e.c."
"36","Manufacture of furniture; manufacturing n.e.c."
"361","Manufacture of furniture"
"3610","Manufacture of furniture"
"369","Manufacturing n.e.c."
"3691","Manufacture of jewellery and related articles"
"3692","Manufacture of musical instruments"
"3693","Manufacture of sports goods"
"3694","Manufacture of games and toys"
"3699","Other manufacturing n.e.c."
"37","Recycling"
"371","Recycling of metal waste and scrap"
"3710","Recycling of metal waste and scrap"
"372","Recycling of non-metal waste and scrap"
"3720","Recycling of non-metal waste and scrap"
"E","Electricity, gas and water supply"
"40","Electricity, gas, steam and hot water supply"
"401","Production, transmission and distribution of electricity"
"4010","Production, transmission and distribution of electricity"
"402","Manufacture of gas; distribution of gaseous fuels through mains"
"4020","Manufacture of gas; distribution of gaseous fuels through mains"
"403","Steam and hot water supply"
"4030","Steam and hot water supply"
"41","Collection, purification and distribution of water"
"410","Collection, purification and distribution of water"
"4100","Collection, purification and distribution of water"
"F","Construction"
"45","Construction"
"451","Site preparation"
"4510","Site preparation"
"452","Building of complete constructions or parts thereof; civil engineering"
"4520","Building of complete constructions or parts thereof; civil engineering"
"453","Building installation"
"4530","Building installation"
"454","Building completion"
"4540","Building completion"
"455","Renting of construction or demolition equipment with operator"
"4550","Renting of construction or demolition equipment with operator"
"G","Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods"
"50","Sale, maintenance and repair of motor vehicles and motorcycles; retail sale of automotive fuel"
"501","Sale of motor vehicles"
"5010","Sale of motor vehicles"
"502","Maintenance and repair of motor vehicles"
"5020","Maintenance and repair of motor vehicles"
"503","Sale of motor vehicle parts and accessories"
"5030","Sale of motor vehicle parts and accessories"
"504","Sale, maintenance and repair of motorcycles and related parts and accessories"
"5040","Sale, maintenance and repair of motorcycles and related parts and accessories"
"505","Retail sale of automotive fuel"
"5050","Retail sale of automotive fuel"
"51","Wholesale trade and commission trade, except of motor vehicles and motorcycles"
"511","Wholesale on a fee or contract basis"
"5110","Wholesale on a fee or contract basis"
"512","Wholesale of agricultural raw materials, live animals, food, beverages and tobacco"
"5121","Wholesale of agricultural raw materials and live animals"
"5122","Wholesale of food, beverages and tobacco"
"513","Wholesale of household goods"
"5131","Wholesale of textiles, clothing and footwear"
"5139","Wholesale of other household goods"
"514","Wholesale of non-agricultural intermediate products, waste and scrap"
"5141","Wholesale of solid, liquid and gaseous fuels and related products"
"5142","Wholesale of metals and metal ores"
"5143","Wholesale of construction materials, hardware, plumbing and heating equipment and supplies"
"5149","Wholesale of other intermediate products, waste and scrap"
"515","Wholesale of machinery, equipment and supplies"
"5151","Wholesale of computers, computer peripheral equipment and software"
"5152","Wholesale of electronic and telecommunications parts and equipment"
"5159","Wholesale of other machinery, equipment and supplies"
"519","Other wholesale"
"5190","Other wholesale"
"52","Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods"
"521","Non-specialized retail trade in stores"
"5211","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
"5219","Other retail sale in non-specialized stores"
"522","Retail sale of food, beverages and tobacco in specialized stores"
"5220","Retail sale of food, beverages and tobacco in specialized stores"
"523","Other retail trade of new goods in specialized stores"
"5231","Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles"
"5232","Retail sale of textiles, clothing, footwear and leather goods"
"5233","Retail sale of household appliances, articles and equipment"
"5234","Retail sale of hardware, paints and glass"
"5239","Other retail sale in specialized stores"
"524","Retail sale of second-hand goods in stores"
"5240","Retail sale of second-hand goods in stores"
"525","Retail trade not in stores"
"5251","Retail sale via mail order houses"
"5252","Retail sale via stalls and markets"
"5259","Other non-store retail sale"
"526","Repair of personal and household goods"
"5260","Repair of personal and household goods"
"H","Hotels and restaurants"
"55","Hotels and restaurants"
"551","Hotels; camping sites and other provision of short-stay accommodation"
"5510","Hotels; camping sites and other provision of short-stay accommodation"
"552","Restaurants, bars and canteens"
"5520","Restaurants, bars and canteens"
"I","Transport, storage and communications"
"60","Land transport; transport via pipelines"
"601","Transport via railways"
"6010","Transport via railways"
"602","Other land transport"
"6021","Other scheduled passenger land transport"
"6022","Other non-scheduled passenger land transport"
"6023","Freight transport by road"
