HS 1988/92 Product Code,HS 1988/92 Product Description,SITC Revision 4 Product Code,SITC Revision 4 Product Description
010111,Live pure bred breeding horses,0015,"Horses, asses, mules & hinnies, live"
010119,"Live horses, other than for pure-bred breeding",0015,"Horses, asses, mules & hinnies, live"
010120,Live asses mules and hinnies,0015,"Horses, asses, mules & hinnies, live"
010210,Live pure-bred breeding bovine animals,00111,"Pure-bred bovine breeding animals, live"
010290,"Live bovine animals, other than pure-bred breed",00119,"Bovine animals, live, other than pure-bred breeding stock"
010310,Live pure-bred breeding swine,00131,"Swine, pure-bred breeding animals"
010391,Live swine weighing <50kg (excl. pure-bred bree,00139,"Swine, live, other than pure-bred breeding animals"
010392,Live swine weighing >=50kg (excl. pure-bred bre,00139,"Swine, live, other than pure-bred breeding animals"
010410,Live sheep,00121,"Sheep, live"
010420,Live goats,00122,"Goats, live"
010511,"Live fowls of species Gallus domesticus, weighi",00141,"Poultry, live weight < 185 grams"
010519,"Live ducks, geese, turkeys and guinea fowls, we",00141,"Poultry, live weight < 185 grams"
010591,Live fowls of species Gallus domesticus (chicke,00149,"Poultry, live weight > 185 grams"
010599,"Live ducks, geese, turkeys and guinea fowls, we",00149,"Poultry, live weight > 185 grams"
010600,"Other live animals, nes",0019,"Live animals, n.e.s."
020110,Fresh or chilled bovine carcasses and half carc,01111,"Meat of bovine animals, fresh/chilled, with bone in"
020120,Fresh or chilled unboned bovine meat (excl. car,01111,"Meat of bovine animals, fresh/chilled, with bone in"
020130,Fresh or chilled boneless bovine meat,01112,"Meat of bovine animals, fresh/chilled, boneless"
020210,Frozen bovine carcasses and half carcasses,01121,"Meat of bovine animals, frozen, with bone in"
020220,Frozen unboned bovine meat (excl. carcasses),01121,"Meat of bovine animals, frozen, with bone in"
020230,Frozen boneless bovine meat,01122,"Meat of bovine animals, frozen, boneless"
020311,Fresh or chilled swine carcasses and half carca,01221,"Meat of swine, fresh/chilled"
020312,"Fresh or chilled unboned hams, shoulders and cu",01221,"Meat of swine, fresh/chilled"
020319,"Fresh or chilled swine meat, nes (unboned)",01221,"Meat of swine, fresh/chilled"
020321,Frozen swine carcasses and half carcasses,01222,"Meat of swine, frozen"
020322,"Frozen unboned hams, shoulders and cuts thereof",01222,"Meat of swine, frozen"
020329,"Frozen swine meat, nes",01222,"Meat of swine, frozen"
020410,Fresh or chilled lamb carcasses and half carcas,01211,"Meat of sheep, fresh/chilled"
020421,Fresh or chilled sheep carcasses and half carca,01211,"Meat of sheep, fresh/chilled"
020422,Fresh or chilled unboned meat of sheep,01211,"Meat of sheep, fresh/chilled"
020423,Fresh or chilled boneless meat of sheep,01211,"Meat of sheep, fresh/chilled"
020430,Frozen lamb carcasses and half carcasses,01212,"Meat of sheep, frozen"
020441,Frozen sheep carcasses and half carcasses (excl,01212,"Meat of sheep, frozen"
020442,Frozen unboned meat of sheep,01212,"Meat of sheep, frozen"
020443,Frozen boned meat of sheep,01212,"Meat of sheep, frozen"
020450,"Fresh, chilled or frozen goat meat",01213,"Meat of goats, fresh, chilled/frozen"
020500,"Meat of horses, asses, mules or hinnies, fresh,",0124,"Meat of horses, asses, mules/hinnies, fresh, chilled/frozen"
020610,Fresh or chilled edible bovine offal,01251,"Edible offal of bovine animals, fresh/chilled"
020621,Frozen bovine tongues,01252,"Edible offal of bovine animals, frozen"
020622,Frozen bovine livers,01252,"Edible offal of bovine animals, frozen"
020629,Frozen edible bovine offal (excl. tongues and l,01252,"Edible offal of bovine animals, frozen"
020630,Fresh or chilled edible swine offal,01253,"Edible offal of swine, fresh/chilled"
020641,Frozen swine livers,01254,"Edible offal of swine, frozen"
020649,Frozen edible swine offal (excl. livers),01254,"Edible offal of swine, frozen"
020680,"Fresh or chilled edible offal of sheep, goats,",01255,"Edible offal of sheep, goats, horses, asses, mules/hinnies, fresh/chilled"
020690,"Frozen edible offal of sheep, goats, horses...",01256,"Edible offal of sheep, goats, horses, asses, mules/hinnies, frozen"
020710,Fresh or chilled whole poultry,01231,"Poultry not cut in pieces, fresh/chilled"
020721,Frozen whole chickens,01232,"Poultry not cut in pieces, frozen"
020722,Frozen whole turkeys,01232,"Poultry not cut in pieces, frozen"
020723,"Frozen whole ducks, geese and guinea fowls",01232,"Poultry not cut in pieces, frozen"
020731,Fresh or chilled fatty livers of geese or ducks,01233,"Fatty livers of geese/ducks, fresh/chilled"
020739,Fresh or chilled poultry cuts and offal (excl.,01234,"Poultry cuts & other offal, fresh/chilled"
020741,Frozen cuts and offal of chicken (excl. livers),01235,"Poultry cuts & offal, frozen"
020742,Frozen cuts and offal of turkey (excl. livers),01235,"Poultry cuts & offal, frozen"
020743,"Frozen cuts and offal of geese, ducks and guine",01235,"Poultry cuts & offal, frozen"
020750,Frozen poultry livers,01235,"Poultry cuts & offal, frozen"
020810,"Fresh, chilled or frozen meat and edible offal",01291,"Meat & edible meat offal of rabbits/hares, fresh, chilled/frozen"
020820,"Fresh, chilled or frozen frogs' legs",01299,"Meat & edible meat offal other than headings 012.91 & 012.93, n.e.s., fresh, chilled/frozen"
020890,"Fresh, chilled or frozen meat and edible offal,",01299,"Meat & edible meat offal other than headings 012.91 & 012.93, n.e.s., fresh, chilled/frozen"
020900,"Pig and poultry fat, fresh, chilled, frozen, sa",41131,"Pig fat free of lean meat & poultry fat (not rendered), fresh, chilled, frozen, salted, in brine, dried/smoked"
021011,"Unboned swine hams, shoulders and cuts thereof,",01611,"Hams, shoulders & cuts thereof, of swine, with bone in, salted, dried/smoked"
021012,"Bellies and cuts thereof of swine, salted... or",01612,Bellies (streaky) of swine & cuts thereof
021019,"Meat of swine, salted... or smoked, nes",01619,"Other salted, dried/smoked meat of swine"
021020,"Meat of bovine animals, salted... or smoked",01681,"Meat of bovine animals, salted, in brine, dried/smoked"
021090,"Other meat, nes, salted... or smoked; flours an",01689,"Other meat & edible meat offal salted, in brine, dried/smoked; edible flours & meals of meat/meat offal"
030110,Live ornamental fish,03411,"Fish, live"
030191,Live trout,03411,"Fish, live"
030192,Live eels,03411,"Fish, live"
030193,Live carp,03411,"Fish, live"
030199,Other live fish,03411,"Fish, live"
030211,Fresh or chilled trout,03412,"Salmonidae, fresh/chilled (excluding livers & roes)"
030212,"Fresh or chilled Pacific, Atlantic and Danube s",03412,"Salmonidae, fresh/chilled (excluding livers & roes)"
030219,Fresh or chilled salmonidae (excl. 0302.11 and,03412,"Salmonidae, fresh/chilled (excluding livers & roes)"
030221,Fresh or chilled halibut,03413,"Flat-fish, fresh/chilled (excluding livers & roes)"
030222,Fresh or chilled plaice,03413,"Flat-fish, fresh/chilled (excluding livers & roes)"
030223,Fresh or chilled sole,03413,"Flat-fish, fresh/chilled (excluding livers & roes)"
030229,"Fresh or chilled flat fish (excl. halibut, plai",03413,"Flat-fish, fresh/chilled (excluding livers & roes)"
030231,Fresh or chilled albacore or longfinned tunas,03414,"Tunas, skipjack/stripe-bellied bonito, fresh/chilled (excluding livers & roes)"
030232,Fresh or chilled yellowfin tunas,03414,"Tunas, skipjack/stripe-bellied bonito, fresh/chilled (excluding livers & roes)"
030233,Fresh or chilled skipjack or stripe-bellied bon,03414,"Tunas, skipjack/stripe-bellied bonito, fresh/chilled (excluding livers & roes)"
030239,"Fresh or chilled tunas, nes",03414,"Tunas, skipjack/stripe-bellied bonito, fresh/chilled (excluding livers & roes)"
030240,Fresh or chilled herrings (excl. livers and roe,03415,"Herrings, sardines, sardinella, brislings/sprats, fresh/chilled (excluding livers & roes)"
030250,Fresh or chilled cod (excl. livers and roes),03416,"Cod, fresh/chilled (excluding livers & roes)"
030261,"Fresh or chilled sardines, brisling or sparts",03415,"Herrings, sardines, sardinella, brislings/sprats, fresh/chilled (excluding livers & roes)"
030262,Fresh or chilled haddock,03418,"Other fish, fresh/chilled (excluding livers & roes)"
030263,Fresh or chilled coalfish,03418,"Other fish, fresh/chilled (excluding livers & roes)"
030264,Fresh or chilled mackerel,03417,"Mackerel (scombrids), fresh/chilled (excluding livers & roes)"
030265,Fresh or chilled dogfish and other sharks,03418,"Other fish, fresh/chilled (excluding livers & roes)"
030266,Fresh or chilled eels,03418,"Other fish, fresh/chilled (excluding livers & roes)"
030269,"Fresh or chilled fish, nes",03418,"Other fish, fresh/chilled (excluding livers & roes)"
030270,Fresh or chilled fish livers and roes,03419,"Fish livers & roes, fresh/chilled"
030310,Frozen Pacific salmon,03421,"Salmonidae, frozen (excluding livers & roes)"
030321,Frozen trout,03421,"Salmonidae, frozen (excluding livers & roes)"
030322,Frozen Atlantic and Danube salmon,03421,"Salmonidae, frozen (excluding livers & roes)"
030329,"Frozen salmonidae (excl. Pacific, Atlantic, Dan",03421,"Salmonidae, frozen (excluding livers & roes)"
030331,Frozen halibut,03422,"Flat-fish, frozen (excluding livers & roes)"
030332,Frozen plaice,03422,"Flat-fish, frozen (excluding livers & roes)"
030333,Frozen sole,03422,"Flat-fish, frozen (excluding livers & roes)"
030339,"Frozen flat fish (excl. halibut, plaice and sol",03422,"Flat-fish, frozen (excluding livers & roes)"
030341,Frozen albacore or longfinned tunas,03423,"Tunas, skipjack/stripe-bellied bonito, frozen (excluding livers & roes)"
030342,Frozen yellowfin tunas,03423,"Tunas, skipjack/stripe-bellied bonito, frozen (excluding livers & roes)"
030343,Frozen skipjack or stripe-bellied bonito,03423,"Tunas, skipjack/stripe-bellied bonito, frozen (excluding livers & roes)"
030349,"Frozen tunas, nes",03423,"Tunas, skipjack/stripe-bellied bonito, frozen (excluding livers & roes)"
030350,Frozen herrings (excl. livers and roes),03424,"Herrings, sardines, sardinella, brislings/sprats, frozen (excluding livers & roes)"
030360,Frozen cod (excl. livers and roes),03425,"Cod, frozen (excluding livers & roes)"
030371,"Frozen sardines, brisling or sprats",03424,"Herrings, sardines, sardinella, brislings/sprats, frozen (excluding livers & roes)"
030372,Frozen haddock,03428,"Other fish, frozen (excluding livers & roes)"
030373,Frozen coalfish,03428,"Other fish, frozen (excluding livers & roes)"
030374,Frozen mackerel,03426,"Mackerel (scombrids), frozen (excluding livers & roes)"
030375,Frozen dogfish and sharks,03428,"Other fish, frozen (excluding livers & roes)"
030376,Frozen eels,03428,"Other fish, frozen (excluding livers & roes)"
030377,Frozen sea-bass,03428,"Other fish, frozen (excluding livers & roes)"
030378,Frozen hake,03427,"Hake, frozen (excluding livers & roes)"
030379,"Frozen fish, nes",03428,"Other fish, frozen (excluding livers & roes)"
030380,Frozen fish livers and roes,03429,"Fish livers & roes, frozen"
030410,Fresh or chilled fish fillets,03451,"Fish fillets & other fish meat, fresh/chilled"
030420,Frozen fish fillets,0344,"Fish fillets, frozen"
030490,Frozen fish meat (excl. fillets),03455,"Fish meat (other than fillets), frozen"
030510,"Flours, meals and pellets of fish, fit for huma",0355,"Flours, meals & pellets of fish, fit for human consumption"
030520,"Livers and roes, dried, smoked, salted or in br",0354,"Fish liver & roes, dried, smoked, salted/in brine"
030530,"Fish fillets, dried, salted or in brine, but no",03512,"Fish fillets, dried, salted/in brine, but not smoked"
030541,"Smoked Pacific, Atlantic and Danube salmon (inc",0353,"Fish (including fillets), smoked, whether/not cooked before/during the smoking process."
030542,Smoked herrings (incl. fillets),0353,"Fish (including fillets), smoked, whether/not cooked before/during the smoking process."
