HS 2002 Product Code,HS 2002 Product Description,SITC Revision 4 Product Code,SITC Revision 4 Product Description
010110,Purebred breeding animals,0015,"Horses, asses, mules & hinnies, live"
010190,Other,0015,"Horses, asses, mules & hinnies, live"
010210,Purebred breeding animals,00111,"Pure-bred bovine breeding animals, live"
010290,Other,00119,"Bovine animals, live, other than pure-bred breeding stock"
010310,Purebred breeding animals,00131,"Swine, pure-bred breeding animals"
010391,Weighing less than 50 kg,00139,"Swine, live, other than pure-bred breeding animals"
010392,Weighing 50 kg or more,00139,"Swine, live, other than pure-bred breeding animals"
010410,Sheep,00121,"Sheep, live"
010420,Goats,00122,"Goats, live"
010511,Fowls of the species Gallus domesticus,00141,"Poultry, live weight < 185 grams"
010512,Turkeys,00141,"Poultry, live weight < 185 grams"
010519,Other,00141,"Poultry, live weight < 185 grams"
010592,"Fowls of the species Gallus domesticus, weighing not more than 2,000 g",00149,"Poultry, live weight > 185 grams"
010593,"Fowls of the species Gallus domesticus, weighing more than 2,000 g",00149,"Poultry, live weight > 185 grams"
010599,Other,00149,"Poultry, live weight > 185 grams"
010611,Primates,0019,"Live animals, n.e.s."
010612,"Whales, dolphins and porpoises (mammals of the order       Cetacea); manatees and dugongs (mammals of the order  Sirenia)",0019,"Live animals, n.e.s."
010619,Other,0019,"Live animals, n.e.s."
010620,Reptiles (including snakes and turtles),0019,"Live animals, n.e.s."
010631,Birds of prey,0019,"Live animals, n.e.s."
010632,"Psittaciformes (including parrots, parakeets, macaws and cockatoos)",0019,"Live animals, n.e.s."
010639,Other,0019,"Live animals, n.e.s."
010690,Other,0019,"Live animals, n.e.s."
020110,Carcasses and halfcarcasses,01111,"Meat of bovine animals, fresh/chilled, with bone in"
020120,Other cuts with bone in,01111,"Meat of bovine animals, fresh/chilled, with bone in"
020130,Boneless,01112,"Meat of bovine animals, fresh/chilled, boneless"
020210,Carcasses and halfcarcasses,01121,"Meat of bovine animals, frozen, with bone in"
020220,Other cuts with bone in,01121,"Meat of bovine animals, frozen, with bone in"
020230,Boneless,01122,"Meat of bovine animals, frozen, boneless"
020311,Carcasses and halfcarcasses,01221,"Meat of swine, fresh/chilled"
020312,"Hams, shoulders and cuts thereof, with bone in",01221,"Meat of swine, fresh/chilled"
020319,Other,01221,"Meat of swine, fresh/chilled"
020321,Carcasses and halfcarcasses,01222,"Meat of swine, frozen"
020322,"Hams, shoulders and cuts thereof, with bone in",01222,"Meat of swine, frozen"
020329,Other,01222,"Meat of swine, frozen"
020410,"Carcasses and halfcarcasses of lamb, fresh or chilled",01211,"Meat of sheep, fresh/chilled"
020421,Carcasses and halfcarcasses,01211,"Meat of sheep, fresh/chilled"
020422,Other cuts with bone in,01211,"Meat of sheep, fresh/chilled"
020423,Boneless,01211,"Meat of sheep, fresh/chilled"
020430,"Carcasses and halfcarcasses of lamb, frozen",01212,"Meat of sheep, frozen"
020441,Carcasses and halfcarcasses,01212,"Meat of sheep, frozen"
020442,Other cuts with bone in,01212,"Meat of sheep, frozen"
020443,Boneless,01212,"Meat of sheep, frozen"
020450,Meat of goats,01213,"Meat of goats, fresh, chilled/frozen"
020500,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen.",0124,"Meat of horses, asses, mules/hinnies, fresh, chilled/frozen"
