HS - Combined  Product Code,HS - Combined  Product Description,SITC Revision 3 Product Code,SITC Revision 3 Product Description
010110,(2002-) Purebred breeding animals,00151,Horses
010111,(-2001) Horses :-- Pure-bred breeding animals,00151,Horses
010119,(-2001) Horses :-- Other,00151,Horses
010120,"(-2001) Asses, mules and hinnies",00152,"Asses/mules/hinnies,live"
010190,(2002-) Other,00152,"Asses/mules/hinnies,live"
010210,Purebred breeding animals,00111,"Bovine animals, breeding"
010290,Other,00119,"Bovine animals, other"
010310,Purebred breeding animals,00131,"Swine, live for breeding"
010391,Weighing less than 50 kg,00139,"Swine, live, other"
010392,Weighing 50 kg or more,00139,"Swine, live, other"
010410,Sheep,00121,"Sheep,live"
010420,Goats,00122,"Goats,live"
010511,Fowls of the species Gallus domesticus,00141,"Poultry,live,max 185 gm"
010512,(1996-) Turkeys,00141,"Poultry,live,max 185 gm"
010519,Other,00141,"Poultry,live,max 185 gm"
010591,(-1995) Live fowls of species Gallus domesticus (c,00149,"Poultry live,over 185 gm"
010592,"(1996-2006) Fowls of the species Gallus domesticus, weighing not more than 2,000 g",00149,"Poultry live,over 185 gm"
010593,"(1996-2006) Fowls of the species Gallus domesticus, weighing more than 2,000 g",00149,"Poultry live,over 185 gm"
010599,Other,00149,"Poultry live,over 185 gm"
010600,(-2001) Other live animals.,0019,Live animals n.e.s.
010611,(2002-) Primates,0019,Live animals n.e.s.
010612,"(2002-) Whales, dolphins and porpoises (mammals of the order       Cetacea); manatees and dugongs (mammals of the order  Sirenia)",0019,Live animals n.e.s.
010619,(2002-) Other,0019,Live animals n.e.s.
010620,(2002-) Reptiles (including snakes and turtles),0019,Live animals n.e.s.
010631,(2002-) Birds of prey,0019,Live animals n.e.s.
010632,"(2002-) Psittaciformes (including parrots, parakeets, macaws and cockatoos)",0019,Live animals n.e.s.
010639,(2002-) Other,0019,Live animals n.e.s.
010690,(2002-) Other,0019,Live animals n.e.s.
020110,Carcasses and halfcarcasses,01111,"Beef fresh/chld,bone in"
020120,Other cuts with bone in,01111,"Beef fresh/chld,bone in"
020130,Boneless,01112,Beef fresh/chld boneless
020210,Carcasses and halfcarcasses,01121,"Beef, frozen, bone in"
020220,Other cuts with bone in,01121,"Beef, frozen, bone in"
020230,Boneless,01122,"Beef, frozen, boneless"
020311,Carcasses and halfcarcasses,01221,Pork fresh/chilled
020312,"Hams, shoulders and cuts thereof, with bone in",01221,Pork fresh/chilled
020319,Other,01221,Pork fresh/chilled
020321,Carcasses and halfcarcasses,01222,Pork frozen
020322,"Hams, shoulders and cuts thereof, with bone in",01222,Pork frozen
020329,Other,01222,Pork frozen
020410,"Carcasses and halfcarcasses of lamb, fresh or chilled",01211,Mutton fresh/chilled
020421,Carcasses and halfcarcasses,01211,Mutton fresh/chilled
020422,Other cuts with bone in,01211,Mutton fresh/chilled
020423,Boneless,01211,Mutton fresh/chilled
020430,"Carcasses and halfcarcasses of lamb, frozen",01212,Mutton frozen
020441,Carcasses and halfcarcasses,01212,Mutton frozen
020442,Other cuts with bone in,01212,Mutton frozen
020443,Boneless,01212,Mutton frozen
020450,Meat of goats,01213,"Goat meat,fresh/chld/frz"
020500,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen.",0124,"Meat,equine,frsh/chl/frz"
020610,"Of bovine animals, fresh or chilled",01251,"Beef offal,fresh/chilled"
020621,Tongues,01252,"Beef offal, frozen"
020622,Livers,01252,"Beef offal, frozen"
020629,Other,01252,"Beef offal, frozen"
020630,"Of swine, fresh or chilled",01253,"Swine offal,fresh/chilld"
020641,Livers,01254,"Swine offal, frozen"
020649,Other,01254,"Swine offal, frozen"
020680,"Other, fresh or chilled",01255,"Offal,sheep etc fresh/ch"
020690,"Other, frozen",01256,"Offal,sheep etc frozen"
020710,(-1995) Fresh or chilled whole poultry,01231,Poultry(whole)frsh/chld
020711,"(1996-) Not cut in pieces, fresh or chilled",01231,Poultry(whole)frsh/chld
020712,"(1996-) Not cut in pieces, frozen",01232,Poultry(whole) frozen
020713,"(1996-) Cuts and offal, fresh or chilled",01234,Poultry cuts fresh/chlld
020714,"(1996-) Cuts and offal, frozen",01235,"Poultry cuts, frozen"
020721,(-1995) Frozen whole chickens,01232,Poultry(whole) frozen
020722,(-1995) Frozen whole turkeys,01232,Poultry(whole) frozen
020723,"(-1995) Frozen whole ducks, geese and guinea fowls",01232,Poultry(whole) frozen
020724,"(1996-) Not cut in pieces, fresh or chilled",01231,Poultry(whole)frsh/chld
020725,"(1996-) Not cut in pieces, frozen",01232,Poultry(whole) frozen
020726,"(1996-) Cuts and offal, fresh or chilled",01234,Poultry cuts fresh/chlld
020727,"(1996-) Cuts and offal, frozen",01235,"Poultry cuts, frozen"
020731,(-1995) Fresh or chilled fatty livers of geese or ,01233,"Liver,goose/duck frsh/ch"
020732,"(1996-) Not cut in pieces, fresh or chilled",01231,Poultry(whole)frsh/chld
020733,"(1996-) Not cut in pieces, frozen",01232,Poultry(whole) frozen
020734,"(1996-) Fatty livers, fresh or chilled",01233,"Liver,goose/duck frsh/ch"
020735,"(1996-) Other, fresh or chilled",01234,Poultry cuts fresh/chlld
020736,"(1996-) Other, frozen",01235,"Poultry cuts, frozen"
020739,(-1995) Fresh or chilled poultry cuts and offal (e,01234,Poultry cuts fresh/chlld
020741,(-1995) Frozen cuts and offal of chicken (excl. li,01235,"Poultry cuts, frozen"
020742,(-1995) Frozen cuts and offal of turkey (excl. liv,01235,"Poultry cuts, frozen"
020743,"(-1995) Frozen cuts and offal of geese, ducks and ",01235,"Poultry cuts, frozen"
020750,(-1995) Frozen poultry livers,01236,Poultry liver frozen
020810,Of rabbits or hares,01291,"Meat/offal,rabbit/hare"
020820,(-2006) Frogs' legs,01292,Frogs legs
020830,(2002-) Of primates,01299,Other meat nes fr/ch/frz
020840,"(2002-) Of whales, dolphins and porpoises (mammals of the order Cetacea); of manatees and dugongs (mammals of the order Sirenia)",01299,Other meat nes fr/ch/frz
020850,(2002-) Of reptiles (including snakes and turtles),01299,Other meat nes fr/ch/frz
020890,Other,01299,Other meat nes fr/ch/frz
020900,"Pig fat, free of lean meat, and poultry fat, not rendered or otherwise extracted, fresh, chilled, frozen, salted, in brine, dried or smoked.",41131,"Pig,poultry fat unrendrd"
021011,"Hams, shoulders and cuts thereof, with bone in",01611,Ham/shoulder/cuts w bone
021012,Bellies (streaky) and cuts thereof,01612,Pork bellies/streaky
021019,Other,01619,"Meat,swine,cured nes"
021020,Meat of bovine animals,01681,Beef etc salted/smkd/dry
021090,"(-2001) Other, including edible flours and meals of meat o",01689,Meat/offal cured nes etc
021091,(2002-) Of primates,01689,Meat/offal cured nes etc
021092,"(2002-) Of whales, dolphins and porpoises (mammals of the order Cetacea); of  manatees and dugongs (mammals of the order Sirenia)",01689,Meat/offal cured nes etc
021093,(2002-) Of reptiles (including snakes and turtles),01689,Meat/offal cured nes etc
021099,(2002-) Other,01689,Meat/offal cured nes etc
030110,Ornamental fish,03411,"Fish, live"
030191,"Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)",03411,"Fish, live"
030192,Eels (Anguilla spp.),03411,"Fish, live"
030193,Carp,03411,"Fish, live"
030199,Other,03411,"Fish, live"
030211,"Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)",03412,"Salmon/trout, fresh"
030212,"Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus), Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho)",03412,"Salmon/trout, fresh"
030219,Other,03412,"Salmon/trout, fresh"
030221,"Halibut (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis)",03413,"Fish, flat,fresh/chilled"
030222,Plaice (Pleuronectes platessa),03413,"Fish, flat,fresh/chilled"
030223,Sole (Solea spp.),03413,"Fish, flat,fresh/chilled"
030229,Other,03413,"Fish, flat,fresh/chilled"
030231,Albacore or longfinned tunas (Thunnus alalunga),03414,"Tuna/skipjack/bonito,f/c"
030232,Yellowfin tunas (Thunnus albacares),03414,"Tuna/skipjack/bonito,f/c"
030233,Skipjack or stripebellied bonito,03414,"Tuna/skipjack/bonito,f/c"
030234,(2002-) Bigeye tunas (Thunnus obesus),03414,"Tuna/skipjack/bonito,f/c"
030235,(2002-) Bluefin tunas (Thunnus thynnus),03414,"Tuna/skipjack/bonito,f/c"
030236,(2002-) Southern bluefin tunas (Thunnus maccoyii),03414,"Tuna/skipjack/bonito,f/c"
030239,Other,03414,"Tuna/skipjack/bonito,f/c"
030240,"Herrings (Clupea harengus, Clupea pallasii), excluding livers and roes",03415,"Herring/sardine/sprat,fc"
030250,"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus), excluding livers and roes",03416,"Cod, fresh/chilled"
030261,"Sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus)",03415,"Herring/sardine/sprat,fc"
030262,Haddock (Melanogrammus aeglefinus),03418,"Fish, n.e.s. fresh/chld"
030263,Coalfish (Pollachius virens),03418,"Fish, n.e.s. fresh/chld"
030264,"Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus)",03417,"Mackerel, fresh/chilled"
030265,Dogfish and other sharks,03418,"Fish, n.e.s. fresh/chld"
030266,Eels (Anguilla spp.),03418,"Fish, n.e.s. fresh/chld"
030269,Other,03418,"Fish, n.e.s. fresh/chld"
030270,Livers and roes,03419,"Fish liver/roe,frsh/chld"
030310,"(-2001) Pacific salmon (Oncorhynchus nerka, Oncorhynchus g",03421,"Salmon/trout, frozen"
030311,(2002-) Sockeye salmon (red salmon) (Oncorhynchus nerka),03421,"Salmon/trout, frozen"
030319,(2002-) Other,03421,"Salmon/trout, frozen"
030321,"Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)",03421,"Salmon/trout, frozen"
030322,Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho),03421,"Salmon/trout, frozen"
030329,Other,03421,"Salmon/trout, frozen"
030331,"Halibut (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis)",03422,"Fish, flat, frozen"
030332,Plaice (Pleuronectes platessa),03422,"Fish, flat, frozen"
030333,Sole (Solea spp.),03422,"Fish, flat, frozen"
030339,Other,03422,"Fish, flat, frozen"
030341,Albacore or longfinned tunas (Thunnus alalunga),03423,"Tuna/skipjack/bonito,frz"
030342,Yellowfin tunas (Thunnus albacares),03423,"Tuna/skipjack/bonito,frz"
030343,Skipjack or stripbellied bonito,03423,"Tuna/skipjack/bonito,frz"
030344,(2002-) Bigeye tunas (Thunnus obesus),03423,"Tuna/skipjack/bonito,frz"
030345,(2002-) Bluefin tunas (Thunnus thynnus),03423,"Tuna/skipjack/bonito,frz"
030346,(2002-) Southern bluefin tunas (Thunnus maccoyii),03423,"Tuna/skipjack/bonito,frz"
030349,Other,03423,"Tuna/skipjack/bonito,frz"
030350,"(-2006) Herrings (Clupea harengus, Clupea pallasii), excluding livers and roes",03424,"Herring/sardine/sprat,fz"
030360,"(-2006) Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus), excluding livers and roes",03425,"Cod,frozen,exc.liver/roe"
030371,"Sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus)",03424,"Herring/sardine/sprat,fz"
030372,Haddock (Melanogrammus aeglefinus),03428,"Fish nes,frzn ex liv/roe"
030373,Coalfish (Pollachius virens),03428,"Fish nes,frzn ex liv/roe"
030374,"Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus)",03426,"Mackerel,frozen,exc.roe"
030375,Dogfish and other sharks,03428,"Fish nes,frzn ex liv/roe"
030376,Eels (Anguilla spp.),03428,"Fish nes,frzn ex liv/roe"
030377,"Sea bass (Dicentrarchus labrax, Dicentrarchus punctatus)",03428,"Fish nes,frzn ex liv/roe"
030378,"Hake (Merluccius spp., Urophycis spp.)",03427,"Hake,frozen,exc.liv/roe"
030379,Other,03428,"Fish nes,frzn ex liv/roe"
030380,Livers and roes,03429,"Fish liver/roe,frozen"
030410,(-2006) Fresh or chilled,03451,"Fish fillets/meat,frs/ch"
030420,(-2006) Frozen fillets,0344,"Fish fillets,frozen"
030490,(-2006) Other,03455,"Fish meat exc.fillet,frz"
030510,"Flours, meals and pellets of fish, fit for human consumption",0355,Fish meal fit for food
030520,"Livers and roes of fish, dried, smoked, salted or in brine",0354,"Fish liver/roe,dr/sm/sal"
030530,"Fish fillets, dried, salted or in brine, but not smoked",03512,"Fish fillets,dried/saltd"
030541,"Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus), Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho)",0353,Fish smoked(exc fillets)
030542,"Herrings (Clupea harengus, Clupea pallasii)",0353,Fish smoked(exc fillets)
030549,Other,0353,Fish smoked(exc fillets)
030551,"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)",03511,"Cod, dried"
030559,Other,03513,Fish(ex cod)dried/salted
030561,"Herrings (Clupea harengus, Clupea pallasii)",03529,"Fish n.e.s.salted,wet"
030562,"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)",03521,"Cod, salted,not drd/smkd"
030563,Anchovies (Engraulis spp.),03522,"Anchovies,salted,not dry"
030569,Other,03529,"Fish n.e.s.salted,wet"
030611,"Rock lobster and other sea crawfish (Palinurus spp., Panulirus spp., Jasus spp.)",03619,Crustaceans n.e.s.frozen
030612,Lobsters (Homarus spp.),03619,Crustaceans n.e.s.frozen
030613,Shrimps and prawns,03611,"Shrimps/prawns, frozen"
030614,Crabs,03619,Crustaceans n.e.s.frozen
030619,"Other, including flours, meals and pellets of crustaceans, fit for human consumption",03619,Crustaceans n.e.s.frozen
030621,"Rock lobster and other sea crawfish (Palinurus spp., Panulirus spp., Jasus spp.)",0362,"Crustaceans, not frozen"
030622,Lobsters (Homarus spp.),0362,"Crustaceans, not frozen"
030623,Shrimps and prawns,0362,"Crustaceans, not frozen"
030624,Crabs,0362,"Crustaceans, not frozen"
030629,"Other, including flours, meals and pellets of crustaceans, fit for human consumption",0362,"Crustaceans, not frozen"
030710,Oysters,03631,Oysters
030721,"Live, fresh or chilled",03635,"Shell fish nes,frsh/chld"
030729,Other,03639,"Shell fish nes,fz/dr/sal"
030731,"Live, fresh or chilled",03635,"Shell fish nes,frsh/chld"
030739,Other,03639,"Shell fish nes,fz/dr/sal"
030741,"Live, fresh or chilled",03633,"Octopus/squid,frsh/chlld"
030749,Other,03637,"Octopus/squid,frz/dry/sa"
030751,"Live, fresh or chilled",03633,"Octopus/squid,frsh/chlld"
030759,Other,03637,"Octopus/squid,frz/dry/sa"
030760,"Snails, other than sea snails",01293,Edible snails(not sea)
030791,"Live, fresh or chilled",03635,"Shell fish nes,frsh/chld"
030799,Other,03639,"Shell fish nes,fz/dr/sal"
040110,"Of a fat content, by weight, not exceeding 1 %",02211,Milk (max fat 1%)
040120,"Of a fat content, by weight, exceeding 1 % but not exceeding     6 %",02212,Milk (fat 1%-6%)
040130,"Of a fat content, by weight, exceeding 6 %",02213,Cream (min fat 6%)
040210,"In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5 %",02221,"Milk powder, fat < 1.5%"
040221,Not containing added sugar or other sweetening matter,02222,Milk/cream powder nes
040229,Other,02222,Milk/cream powder nes
040291,Not containing added sugar or other sweetening matter,02223,"Milk(ex dry) prsvd,unswt"
040299,Other,02224,"Milk(ex dry) prsvd,swtnd"
040310,Yogurt,02231,Yogurt
040390,Other,02232,Buttermilk etc.
040410,"Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter",02241,Whey
040490,Other,02249,Natural milk prods n.e.s
040500,(-1995) Butter and other fats and oils derived fro,0230,"Butter, milk fats"
040510,(1996-) Butter,0230,"Butter, milk fats"
040520,(1996-) Dairy spreads,0230,"Butter, milk fats"
