BEA2012,NAICS2012_6d
1111A0,111110
1111A0,111120
1111B0,111130
1111B0,111140
1111B0,111150
1111B0,111160
1111B0,111191
1111B0,111199
111200,111211
111200,111219
111300,111310
111300,111320
111300,111331
111300,111332
111300,111333
111300,111334
111300,111335
111300,111336
111300,111339
111400,111411
111400,111419
111400,111421
111400,111422
111900,111910
111900,111920
111900,111930
111900,111940
111900,111991
111900,111992
111900,111998
1121A0,112111
1121A0,112112
1121A0,112130
112120,112120
112A00,112210
112A00,112410
112A00,112420
112A00,112511
112A00,112512
112A00,112519
112A00,112910
112A00,112920
112A00,112930
112A00,112990
112300,112310
112300,112320
112300,112330
112300,112340
112300,112390
113000,113110
113000,113210
113000,113310
114000,114111
114000,114112
114000,114119
114000,114210
115000,115111
115000,115112
115000,115113
115000,115114
115000,115115
115000,115116
115000,115210
115000,115310
211000,211111
211000,211112
212100,212111
212100,212112
212100,212113
2122A0,212210
2122A0,212221
2122A0,212222
2122A0,212291
2122A0,212299
212230,212231
212230,212234
212310,212311
212310,212312
212310,212313
212310,212319
2123A0,212321
2123A0,212322
2123A0,212324
2123A0,212325
2123A0,212391
2123A0,212392
2123A0,212393
2123A0,212399
213111,213111
21311A,213112
21311A,213113
21311A,213114
21311A,213115
221100,221111
221100,221112
221100,221113
221100,221114
221100,221115
221100,221116
221100,221117
221100,221118
221100,221121
221100,221122
221200,221210
221300,221310
221300,221320
221300,221330
233210,236115
233210,236116
233210,236117
233210,236118
233210,236210
233210,236220
233210,237110
233210,237120
233210,237130
233210,237210
233210,237310
233210,237990
233210,238110
233210,238120
233210,238130
233210,238140
233210,238150
233210,238160
233210,238170
233210,238190
233210,238210
233210,238220
233210,238290
233210,238310
233210,238320
233210,238330
233210,238340
233210,238350
233210,238390
233210,238910
233210,238990
233262,236115
233262,236116
233262,236117
233262,236118
233262,236210
233262,236220
233262,237110
233262,237120
233262,237130
233262,237210
233262,237310
233262,237990
233262,238110
233262,238120
233262,238130
233262,238140
233262,238150
233262,238160
233262,238170
233262,238190
233262,238210
233262,238220
233262,238290
233262,238310
233262,238320
233262,238330
233262,238340
233262,238350
233262,238390
233262,238910
233262,238990
2332A0,236115
2332A0,236116
2332A0,236117
2332A0,236118
2332A0,236210
2332A0,236220
2332A0,237110
2332A0,237120
2332A0,237130
2332A0,237210
2332A0,237310
2332A0,237990
2332A0,238110
2332A0,238120
2332A0,238130
2332A0,238140
2332A0,238150
2332A0,238160
2332A0,238170
2332A0,238190
2332A0,238210
2332A0,238220
2332A0,238290
2332A0,238310
2332A0,238320
2332A0,238330
2332A0,238340
2332A0,238350
2332A0,238390
2332A0,238910
2332A0,238990
233240,236115
233240,236116
233240,236117
233240,236118
233240,236210
233240,236220
233240,237110
233240,237120
233240,237130
233240,237210
233240,237310
233240,237990
233240,238110
233240,238120
233240,238130
233240,238140
233240,238150
233240,238160
