code,desc
1111A0,Oilseed farming
1111B0,Grain farming
111200,Vegetable and melon farming
111300,Fruit and tree nut farming
111400,"Greenhouse, nursery, and floriculture production"
111900,Other crop farming
1121A0,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming"
112120,Dairy cattle and milk production
112A00,"Animal production, except cattle and poultry and eggs"
112300,Poultry and egg production
113000,Forestry and logging
114000,"Fishing, hunting and trapping"
115000,Support activities for agriculture and forestry
211000,Oil and gas extraction
212100,Coal mining
2122A0,"Iron, gold, silver, and other metal ore mining"
212230,"Copper, nickel, lead, and zinc mining"
212310,Stone mining and quarrying
2123A0,Other nonmetallic mineral mining and quarrying
213111,Drilling oil and gas wells
21311A,Other support activities for mining
221100,"Electric power generation, transmission, and distribution"
221200,Natural gas distribution
221300,"Water, sewage and other systems"
233210,Health care structures
233262,Educational and vocational structures
2332A0,Office and commercial structures
233240,Power and communication structures
2332C0,Transportation structures and highways and streets
233230,Manufacturing structures
2332D0,Other nonresidential structures
233411,Single-family residential structures
233412,Multifamily residential structures
2334A0,Other residential structures
230301,Nonresidential maintenance and repair
230302,Residential maintenance and repair
321100,Sawmills and wood preservation
321200,"Veneer, plywood, and engineered wood product manufacturing"
321910,Millwork
3219A0,All other wood product manufacturing
327100,Clay product and refractory manufacturing
327200,Glass and glass product manufacturing
327310,Cement manufacturing
327320,Ready-mix concrete manufacturing
327330,"Concrete pipe, brick, and block manufacturing"
327390,Other concrete product manufacturing
327400,Lime and gypsum product manufacturing
327910,Abrasive product manufacturing
327991,Cut stone and stone product manufacturing
327992,Ground or treated mineral and earth manufacturing
327993,Mineral wool manufacturing
327999,Miscellaneous nonmetallic mineral products
331110,Iron and steel mills and ferroalloy manufacturing
331200,Steel product manufacturing from purchased steel
331313,Alumina refining and primary aluminum production
331314,Secondary smelting and alloying of aluminum
33131B,Aluminum product manufacturing from purchased aluminum
331410,Nonferrous metal (except aluminum) smelting and refining
331420,"Copper rolling, drawing, extruding and alloying"
331490,"Nonferrous metal (except copper and aluminum) rolling, drawing, extruding and alloying"
331510,Ferrous metal foundries
331520,Nonferrous metal foundries
33211A,"All other forging, stamping, and sintering"
332114,Custom roll forming
332119,"Metal crown, closure, and other metal stamping (except automotive)"
332200,Cutlery and handtool manufacturing
332310,Plate work and fabricated structural product manufacturing
332320,Ornamental and architectural metal products manufacturing
332410,Power boiler and heat exchanger manufacturing
332420,Metal tank (heavy gauge) manufacturing
332430,"Metal can, box, and other metal container (light gauge) manufacturing"
332500,Hardware manufacturing
332600,Spring and wire product manufacturing
332710,Machine shops
332720,"Turned product and screw, nut, and bolt manufacturing"
332800,"Coating, engraving, heat treating and allied activities"
33291A,Valve and fittings other than plumbing
332913,Plumbing fixture fitting and trim manufacturing
332991,Ball and roller bearing manufacturing
33299A,"Ammunition, arms, ordnance, and accessories manufacturing"
332996,Fabricated pipe and pipe fitting manufacturing
332999,Other fabricated metal manufacturing
333111,Farm machinery and equipment manufacturing
333112,Lawn and garden equipment manufacturing
333120,Construction machinery manufacturing
333130,Mining and oil and gas field machinery manufacturing
333242,Semiconductor machinery manufacturing
33329A,Other industrial machinery manufacturing
333314,Optical instrument and lens manufacturing
333316,Photographic and photocopying equipment manufacturing
333318,Other commercial and service industry machinery manufacturing
333413,Industrial and commercial fan and blower and air purification equipment manufacturing
333414,Heating equipment (except warm air furnaces) manufacturing
333415,"Air conditioning, refrigeration, and warm air heating equipment manufacturing"
333511,Industrial mold manufacturing
333517,Machine tool manufacturing
333514,"Special tool, die, jig, and fixture manufacturing"
33351B,"Cutting and machine tool accessory, rolling mill, and other metalworking machinery manufacturing"
333611,Turbine and turbine generator set units manufacturing
333612,"Speed changer, industrial high-speed drive, and gear manufacturing"
333613,Mechanical power transmission equipment manufacturing
333618,Other engine equipment manufacturing
33391A,Pump and pumping equipment manufacturing
333912,Air and gas compressor manufacturing
333920,Material handling equipment manufacturing
