HS2007,BEC
0101.10,41
0101.90,111
0102.10,41
0102.90,111
0103.10,41
0103.91,111
0103.92,111
0104.10,111
0104.20,111
0105.11,111
0105.12,111
0105.19,111
0105.94,111
0105.99,111
0106.11,111
0106.12,111
0106.19,111
0106.20,111
0106.31,111
0106.32,111
0106.39,111
0106.90,111
0201.10,121
0201.20,122
0201.30,122
0202.10,121
0202.20,122
0202.30,122
0203.11,121
0203.12,122
0203.19,122
0203.21,121
0203.22,122
0203.29,122
0204.10,121
0204.21,121
0204.22,122
0204.23,122
0204.30,121
0204.41,121
0204.42,122
0204.43,122
0204.50,122
0205.00,121
0206.10,122
0206.21,122
0206.22,122
0206.29,122
0206.30,122
0206.41,122
0206.49,122
0206.80,122
0206.90,122
0207.11,122
0207.12,122
0207.13,122
0207.14,122
0207.24,122
0207.25,122
0207.26,122
0207.27,122
0207.32,122
0207.33,122
0207.34,122
0207.35,122
0207.36,122
0208.10,122
0208.30,122
0208.40,122
0208.50,122
0208.90,122
0209.00,121
0210.11,122
0210.12,122
0210.19,122
0210.20,122
0210.91,122
0210.92,122
0210.93,122
0210.99,122
0301.10,63
0301.91,112
0301.92,112
0301.93,112
0301.94,112
0301.95,112
0301.99,112
0302.11,112
0302.12,112
0302.19,112
0302.21,112
0302.22,112
0302.23,112
0302.29,112
0302.31,112
0302.32,112
0302.33,112
0302.34,112
0302.35,112
0302.36,112
0302.39,112
0302.40,112
0302.50,112
0302.61,112
0302.62,112
0302.63,112
0302.64,112
0302.65,112
0302.66,112
0302.67,112
0302.68,112
0302.69,112
0302.70,122
0303.11,122
0303.19,122
0303.21,122
0303.22,122
0303.29,122
0303.31,122
0303.32,122
0303.33,122
0303.39,122
0303.41,122
0303.42,122
0303.43,122
0303.44,122
0303.45,122
0303.46,122
0303.49,122
0303.51,122
0303.52,122
0303.61,122
0303.62,122
0303.71,122
0303.72,122
0303.73,122
0303.74,122
0303.75,122
0303.76,122
0303.77,122
0303.78,122
0303.79,122
0303.80,122
0304.11,122
0304.12,122
0304.19,122
0304.21,122
0304.22,122
0304.29,122
0304.91,122
0304.92,122
0304.99,122
0305.10,121
0305.20,122
0305.30,122
0305.41,122
0305.42,122
0305.49,122
0305.51,112
0305.59,112
0305.61,112
0305.62,112
0305.63,112
0305.69,112
0306.11,112
0306.12,112
0306.13,112
0306.14,112
0306.19,112
0306.21,112
0306.22,112
0306.23,112
0306.24,112
0306.29,122
0307.10,112
0307.21,112
0307.29,112
0307.31,112
0307.39,112
0307.41,112
0307.49,112
0307.51,112
0307.59,112
0307.60,122
0307.91,112
0307.99,112
0401.10,112
