HS 2017,BEC,Relationship
010121,41,n:1
010129,111,n:1
010130,111,n:n
010130,41,n:n
010190,111,n:1
010221,41,n:1
010229,111,n:1
010231,41,n:1
010239,111,n:1
010290,111,n:n
010290,41,n:n
010310,41,n:1
010391,111,n:1
010392,111,n:1
010410,111,n:1
010420,111,n:1
010511,111,n:1
010512,111,n:1
010513,111,n:1
010514,111,n:1
010515,111,n:1
010594,111,n:1
010599,111,n:1
010611,111,n:1
010612,111,n:1
010613,111,n:1
010614,111,n:1
010619,111,n:1
010620,111,n:1
010631,111,n:1
010632,111,n:1
010633,111,n:1
010639,111,n:1
010641,111,n:1
010649,111,n:1
010690,111,n:1
020110,121,n:1
020120,122,n:1
020130,122,n:1
020210,121,n:1
020220,122,n:1
020230,122,n:1
020311,121,n:1
020312,122,n:1
020319,122,n:1
020321,121,n:1
020322,122,n:1
020329,122,n:1
020410,121,n:1
020421,121,n:1
020422,122,n:1
020423,122,n:1
020430,121,n:1
020441,121,n:1
020442,122,n:1
020443,122,n:1
020450,122,n:1
020500,121,n:1
020610,122,n:1
020621,122,n:1
020622,122,n:1
020629,122,n:1
020630,122,n:1
020641,122,n:1
020649,122,n:1
020680,122,n:1
020690,122,n:1
020711,122,n:1
020712,122,n:1
020713,122,n:1
020714,122,n:1
020724,122,n:1
020725,122,n:1
020726,122,n:1
020727,122,n:1
020741,122,n:1
020742,122,n:1
020743,122,n:1
020744,122,n:1
020745,122,n:1
020751,122,n:1
020752,122,n:1
020753,122,n:1
020754,122,n:1
020755,122,n:1
020760,122,n:1
020810,122,n:1
020830,122,n:1
020840,122,n:1
020850,122,n:1
020860,122,n:1
020890,122,n:1
020910,121,n:1
020990,121,n:1
021011,122,n:1
021012,122,n:1
021019,122,n:1
021020,122,n:1
021091,122,n:1
021092,122,n:1
021093,122,n:1
021099,122,n:1
030111,63,n:1
030119,63,n:1
030191,112,n:1
030192,112,n:1
030193,112,n:1
030194,112,n:1
030195,112,n:1
030199,112,n:1
030211,112,n:1
030213,112,n:1
030214,112,n:1
030219,112,n:1
030221,112,n:1
030222,112,n:1
030223,112,n:1
030224,112,n:1
030229,112,n:1
030231,112,n:1
030232,112,n:1
030233,112,n:1
030234,112,n:1
030235,112,n:1
030236,112,n:1
030239,112,n:1
030241,112,n:1
030242,112,n:1
030243,112,n:1
030244,112,n:1
030245,112,n:1
030246,112,n:1
030247,112,n:1
030249,112,n:1
030251,112,n:1
030252,112,n:1
030253,112,n:1
030254,112,n:1
030255,112,n:1
030256,112,n:1
030259,112,n:1
030271,112,n:1
030272,112,n:1
030273,112,n:1
030274,112,n:1
030279,112,n:1
030281,112,n:1
030282,112,n:1
030283,112,n:1
030284,112,n:1
030285,112,n:1
030289,112,n:1
030291,122,n:1
030292,112,n:1
030299,112,n:1
030311,122,n:1
030312,122,n:1
030313,122,n:1
030314,122,n:1
030319,122,n:1
030323,122,n:1
030324,122,n:1
030325,122,n:1
030326,122,n:1
030329,122,n:1
030331,122,n:1
030332,122,n:1
030333,122,n:1
030334,122,n:1
030339,122,n:1
030341,122,n:1
030342,122,n:1
030343,122,n:1
030344,122,n:1
030345,122,n:1
030346,122,n:1
030349,122,n:1
030351,122,n:1
030353,122,n:1
030354,122,n:1
030355,122,n:1
030356,122,n:1
030357,122,n:1
030359,122,n:1
030363,122,n:1
030364,122,n:1
030365,122,n:1
030366,122,n:1
030367,122,n:1
030368,122,n:1
030369,122,n:1
030381,122,n:1
030382,122,n:1
030383,122,n:1
030384,122,n:1
030389,122,n:1
030391,122,n:1
