"ISIC REV. 3 - SITC REV. 3",,
"Source","Target"
"0111","045.1"
"0111","045.2"
"0111","045.3"
"0111","045.91"
"0111","045.92"
"0111","045.93"
"0111","045.99"
"0111","054.1"
"0111","054.21"
"0111","054.22"
"0111","054.23"
"0111","054.24"
"0111","054.25"
"0111","054.29"
"0111","054.81"
"0111","054.83"
"0111","054.84"
"0111","054.87"
"0111","054.88"
"0111","054.89"
"0111","081.11"
"0111","081.12"
"0111","081.13"
"0111","121.1"
"0111","121.2"
"0111","222.11"
"0111","222.12"
"0111","222.2"
"0111","222.3"
"0111","222.4"
"0111","222.5"
"0111","222.61"
"0111","222.62"
"0111","222.7"
"0111","223.1"
"0111","223.2"
"0111","223.4"
"0111","223.5"
"0111","223.7"
"0111","231.1"
"0111","231.21"
"0111","231.25"
"0111","231.29"
"0111","263.1"
"0111","264.1"
"0111","265.11"
"0111","265.21"
"0111","265.41"
"0111","265.51"
"0111","265.71"
"0111","265.81"
"0111","292.41"
"0111","292.42"
"0111","292.49"
"0111","292.51"
"0111","292.52"
"0111","041.1"
"0111","041.2"
"0111","042.1"
"0111","043.0"
"0111","044.1"
"0111","044.9"
"0112","054.4"
"0112","054.51"
"0112","054.52"
"0112","054.53"
"0112","054.54"
"0112","054.55"
"0112","054.56"
"0112","054.57"
"0112","054.58"
"0112","054.59"
"0112","057.91"
"0112","292.53"
"0112","292.54"
"0112","292.59"
"0112","292.61"
"0112","292.69"
"0112","292.71"
"0113","057.11"
"0113","057.12"
"0113","057.21"
"0113","057.22"
"0113","057.29"
"0113","057.3"
"0113","057.4"
"0113","057.51"
"0113","057.52"
"0113","057.6"
"0113","057.71"
"0113","057.72"
"0113","057.73"
"0113","057.74"
"0113","057.75"
"0113","057.76"
"0113","057.77"
"0113","057.78"
"0113","057.79"
"0113","057.91"
"0113","057.92"
"0113","057.93"
"0113","057.94"
"0113","057.95"
"0113","057.96"
"0113","057.97"
"0113","057.98"
"0113","057.99"
"0113","071.11"
"0113","072.1"
"0113","074.12"
"0113","074.14"
"0113","074.31"
"0113","075.11"
"0113","075.12"
"0113","075.13"
"0113","075.21"
"0113","075.22"
"0113","075.23"
"0113","075.24"
"0113","075.25"
"0113","075.26"
"0113","075.27"
"0113","075.28"
"0113","075.29"
"0121","001.11"
"0121","001.19"
"0121","001.21"
"0121","001.22"
"0121","001.51"
"0121","001.52"
"0121","268.11"
"0121","291.94"
"0122","001.31"
"0122","001.39"
"0122","001.41"
"0122","001.49"
"0122","001.9"
"0122","012.92"
"0122","012.93"
"0122","025.1"
"0122","061.6"
"0122","098.92"
"0122","211.99"
"0122","212.1"
"0122","212.21"
"0122","212.22"
"0122","212.23"
"0122","212.24"
"0122","212.25"
"0122","212.26"
"0122","212.29"
"0122","212.3"
"0122","261.41"
"0122","268.3"
"0122","268.51"
"0122","268.59"
"0122","431.42"
"0200","292.99"
"0200","634.91"
"0200","231.3"
"0200","244.03"
"0200","245.01"
"0200","247.4"
"0200","247.51"
"0200","247.52"
"0200","292.21"
"0200","292.22"
"0200","292.29"
"0200","292.31"
"0200","292.32"
"0200","292.39"
"0200","292.72"
"0200","292.92"
"0200","292.93"
"0200","292.94"
"0200","292.95"
"0200","292.96"
"0500","034.11"
"0500","034.12"
"0500","034.13"
"0500","034.14"
"0500","034.15"
"0500","034.16"
"0500","034.17"
"0500","034.18"
"0500","036.2"
"0500","036.31"
"0500","036.33"
"0500","036.35"
"0500","291.15"
"0500","291.97"
"0500","292.97"
"0500","667.11"
"0500","667.12"
"1010","321.1"
"1010","321.21"
"1010","321.22"
"1010","322.1"
"1020","322.21"
"1020","322.22"
"1030","322.3"
"1110","278.96"
"1110","333.0"
"1110","343.1"
"1110","343.2"
"1200","286.1"
"1200","286.2"
"1310","281.5"
"1310","281.6"
"1320","283.1"
"1320","284.1"
"1320","285.1"
"1320","287.4"
"1320","287.5"
"1320","287.6"
"1320","287.7"
"1320","287.81"
"1320","287.82"
"1320","287.83"
"1320","287.84"
"1320","287.85"
"1320","287.91"
"1320","287.92"
"1320","287.93"
"1320","287.99"
"1320","289.11"
"1320","289.19"
"1410","273.11"
"1410","273.12"
"1410","273.13"
"1410","273.22"
"1410","273.23"
"1410","273.31"
"1410","273.39"
"1410","273.4"
"1410","278.23"
"1410","278.26"
"1410","278.27"
"1410","278.29"
"1410","278.91"
"1421","272.31"
"1421","272.32"
"1421","272.4"
"1421","274.1"
"1421","274.11"
"1421","274.2"
"1421","278.54"
"1421","278.55"
"1421","278.92"
"1421","278.94"
"1421","278.99"
"1422","278.3"
"1429","277.11"
"1429","277.22"
"1429","277.29"
"1429","278.22"
"1429","278.24"
"1429","278.25"
"1429","278.4"
"1429","278.51"
"1429","278.52"
"1429","278.53"
"1429","278.69"
"1429","278.93"
"1429","278.95"
"1429","278.97"
"1429","278.98"
"1429","667.21"
"1429","667.22"
"1429","667.31"
"1511","011.11"
"1511","011.12"
"1511","011.21"
"1511","011.22"
"1511","012.11"
"1511","012.12"
"1511","012.13"
"1511","012.21"
"1511","012.22"
"1511","012.31"
"1511","012.32"
"1511","012.33"
"1511","012.34"
"1511","012.35"
"1511","012.36"
"1511","012.4"
"1511","012.51"
"1511","012.52"
"1511","012.53"
"1511","012.54"
"1511","012.55"
"1511","012.56"
"1511","012.91"
"1511","012.99"
"1511","016.11"
"1511","016.12"
"1511","016.19"
"1511","016.81"
"1511","016.89"
"1511","017.1"
"1511","017.2"
"1511","017.3"
"1511","017.4"
"1511","017.5"
"1511","017.6"
"1511","017.9"
"1511","081.41"
"1511","211.11"
"1511","211.12"
"1511","211.13"
"1511","211.2"
"1511","211.4"
"1511","211.6"
"1511","211.7"
"1511","268.19"
"1511","411.2"
"1511","411.31"
"1511","411.32"
"1512","036.37"
"1512","036.39"
"1512","037.11"
"1512","037.12"
"1512","037.13"
"1512","037.14"
"1512","037.15"
"1512","037.16"
"1512","037.17"
"1512","037.21"
"1512","037.22"
"1512","081.42"
"1512","291.96"
"1512","034.19"
"1512","034.21"
"1512","034.22"
"1512","034.23"
"1512","034.24"
"1512","034.25"
"1512","034.26"
"1512","034.27"
"1512","034.28"
"1512","034.29"
"1512","034.4"
"1512","034.51"
"1512","034.55"
"1512","035.11"
"1512","035.12"
"1512","035.13"
"1512","035.21"
"1512","035.22"
"1512","035.29"
"1512","035.3"
"1512","035.4"
"1512","035.5"
"1512","036.11"
"1512","036.19"
"1513","054.61"
"1513","054.69"
"1513","054.7"
"1513","054.85"
"1513","056.11"
"1513","056.12"
"1513","056.13"
"1513","056.19"
"1513","056.41"
"1513","056.42"
"1513","056.61"
"1513","056.69"
"1513","056.71"
"1513","056.72"
"1513","056.73"
"1513","056.74"
"1513","056.75"
"1513","056.76"
"1513","056.77"
"1513","056.79"
"1513","058.1"
"1513","058.21"
"1513","058.22"
"1513","058.31"
"1513","058.32"
"1513","058.39"
"1513","058.92"
"1513","058.93"
"1513","058.94"
"1513","058.95"
"1513","058.96"
"1513","058.97"
"1513","059.1"
"1513","059.2"
"1513","059.3"
"1513","059.91"
"1513","059.92"
"1513","059.93"
"1513","059.94"
"1513","059.95"
"1513","059.96"
"1514","081.31"
"1514","081.32"
"1514","081.33"
"1514","081.34"
"1514","081.35"
"1514","081.36"
"1514","081.37"
"1514","081.38"
"1514","081.39"
"1514","091.01"
"1514","091.09"
"1514","223.9"
"1514","263.2"
"1514","411.11"
"1514","411.12"
"1514","411.13"
"1514","411.33"
"1514","411.39"
"1514","421.11"
"1514","421.19"
"1514","421.21"
"1514","421.29"
"1514","421.31"
"1514","421.39"
"1514","421.41"
"1514","421.42"
"1514","421.49"
"1514","421.51"
"1514","421.59"
"1514","421.71"
"1514","421.79"
"1514","421.8"
"1514","422.11"
"1514","422.19"
"1514","422.21"
"1514","422.29"
"1514","422.31"
"1514","422.39"
"1514","422.41"
"1514","422.49"
"1514","422.5"
"1514","422.91"
"1514","422.99"
"1514","431.21"
"1514","431.22"
"1514","431.33"
"1514","431.41"
"1520","024.3"
"1520","024.91"
"1520","024.99"
"1520","061.91"
"1520","592.21"
"1520","022.11"
"1520","022.12"
"1520","022.13"
"1520","022.21"
"1520","022.22"
"1520","022.23"
"1520","022.24"
"1520","022.31"
"1520","022.32"
"1520","022.33"
"1520","022.41"
"1520","022.49"
"1520","023.0"
"1520","024.1"
"1520","024.2"
"1531","042.2"
"1531","042.31"
"1531","042.32"
"1531","046.1"
"1531","046.2"
"1531","047.11"
"1531","047.19"
"1531","047.21"
"1531","047.22"
"1531","047.29"
"1531","048.11"
"1531","048.12"
"1531","048.13"
"1531","048.14"
"1531","048.15"
"1531","048.5"
"1531","056.46"
"1531","056.47"
"1531","056.48"
"1532","056.45"
"1532","061.93"
"1532","061.94"
"1532","061.95"
"1532","061.96"
"1532","061.99"
"1532","421.61"
"1532","421.69"
"1532","592.11"
"1532","592.12"
"1532","592.13"
"1532","592.14"
"1532","592.15"
"1532","592.16"
"1532","592.17"
"1532","592.26"
"1533","081.95"
"1533","081.99"
"1541","048.41"
"1541","048.42"
"1541","048.49"
"1542","061.11"
"1542","061.12"
"1542","061.21"
"1542","061.29"
"1542","061.51"
"1542","061.59"
"1542","061.92"
"1543","062.1"
"1543","062.21"
"1543","062.29"
"1543","072.2"
"1543","072.31"
"1543","072.32"
"1543","072.4"
"1543","073.1"
"1543","073.2"
"1543","073.3"
"1543","073.9"
"1544","048.3"
"1544","098.91"
"1549","025.21"
"1549","025.22"
"1549","025.3"
"1549","071.12"
"1549","071.2"
"1549","071.31"
"1549","071.32"
"1549","071.33"
"1549","074.11"
"1549","074.13"
"1549","074.32"
"1549","098.11"
"1549","098.12"
"1549","098.13"
"1549","098.14"
"1549","098.41"
"1549","098.42"
"1549","098.43"
"1549","098.44"
"1549","098.49"
"1549","098.5"
"1549","098.6"
"1549","098.93"
"1549","098.94"
"1549","098.99"
"1551","112.41"
"1551","112.42"
"1551","112.43"
"1551","112.44"
"1551","112.45"
"1551","112.49"
"1551","512.15"
"1551","512.16"
"1552","112.11"
"1552","112.13"
"1552","112.15"
"1552","112.17"
"1552","112.2"
"1553","048.2"
"1553","112.3"
"1554","111.01"
"1554","111.02"
"1600","122.1"
"1600","122.2"
"1600","122.31"
"1600","122.32"
"1600","122.39"
"1711","651.97"
"1711","651.99"
"1711","652.11"
"1711","652.12"
"1711","652.13"
"1711","652.14"
"1711","652.15"
"1711","652.21"
"1711","652.22"
"1711","652.23"
"1711","652.24"
"1711","652.25"
"1711","652.26"
"1711","652.31"
"1711","652.32"
"1711","652.33"
"1711","652.34"
"1711","652.41"
"1711","652.42"
"1711","652.43"
"1711","652.44"
"1711","652.45"
"1711","652.51"
"1711","652.52"
"1711","652.53"
"1711","652.54"
"1711","652.61"
"1711","652.62"
"1711","652.63"
"1711","652.64"
"1711","652.65"
"1711","652.91"
"1711","652.92"
"1711","652.93"
"1711","652.94"
"1711","652.95"
"1711","652.96"
"1711","652.97"
"1711","652.98"
"1711","653.11"
"1711","653.12"
"1711","653.13"
"1711","653.14"
"1711","653.15"
"1711","653.16"
"1711","653.17"
"1711","653.18"
"1711","653.19"
"1711","653.21"
"1711","653.25"
"1711","653.29"
"1711","653.31"
"1711","653.32"
"1711","653.33"
"1711","653.34"
"1711","653.41"
"1711","653.42"
"1711","653.43"
"1711","653.51"
"1711","653.52"
"1711","653.59"
"1711","653.6"
"1711","653.81"
"1711","653.82"
"1711","653.83"
"1711","653.89"
"1711","653.91"
"1711","653.93"
"1711","654.11"
"1711","654.13"
"1711","654.19"
"1711","654.21"
"1711","654.22"
"1711","654.31"
"1711","654.32"
"1711","654.33"
"1711","654.34"
"1711","654.35"
"1711","654.41"
"1711","654.42"
"1711","654.5"
"1711","654.6"
"1711","654.92"
"1711","654.93"
"1711","654.94"
"1711","654.95"
"1711","654.96"
"1711","654.97"
"1711","261.3"
"1711","261.49"
"1711","263.4"
"1711","264.9"
"1711","265.12"
"1711","265.13"
"1711","265.29"
"1711","265.49"
"1711","265.59"
"1711","265.79"
"1711","265.89"
"1711","266.71"
"1711","266.72"
"1711","266.73"
"1711","266.79"
"1711","267.13"
"1711","268.21"
"1711","268.29"
"1711","268.63"
"1711","268.71"
"1711","268.73"
"1711","268.77"
"1711","411.34"
"1711","411.35"
"1711","651.12"
"1711","651.13"
"1711","651.14"
"1711","651.15"
"1711","651.16"
"1711","651.17"
"1711","651.18"
"1711","651.19"
"1711","651.21"
"1711","651.22"
