"ISIC3","partialISIC3","ISIC2","partialISIC2","Detail"
"0111",0,"1110",1,"Growing of cereals and other crops n.e.c"
"0112",1,"1110",1,"Growing of vegetables, horticultural specialities, nursery products"
"0112",1,"1210",1,"Gathering of mushrooms, truffles"
"0113",0,"1110",1,"Growing of fruit, nuts, beverage and spice crops"
"0121",0,"1110",1,"Farming of cattle, sheep, goats, horses, asses, mules and hinnies; dairy farming"
"0122",1,"1110",1,"Raising domesticated or wild animals n.e.c. (e.g. swine, poultry, rabbits)"
"0122",1,"1120",1,"Poultry hatchery, silkworm raising, on a fee or contract basis"
"0122",1,"1302",1,"Frog farming"
"0130",0,"1110",1,"Growing of crops combined with farming of animals (mixed farming)"
"0140",1,"1110",1,"Landscape gardening"
"0140",1,"1120",1,"Agricultural and animal husbandry activities, on a fee or contract basis"
"0140",1,"3211",1,"Cotton ginning"
"0140",1,"4101",1,"Electric line clearing (maintenance)"
"0140",1,"5000",1,"Maintenance (snow clearing, grass cutting) of roadway rights of way, center strips and edges"
"0140",1,"8329",1,"Activities of farm labour contractors"
"0140",1,"9332",1,"Animal grooming and boarding"
"0140",1,"9490",1,"Training of horses, pets and other animal specialties, excluding racing"
"0150",1,"1130",0,"Hunting, trapping and game propagation"
"0150",1,"1301",1,"Catching of sea mammals"
"0150",1,"1302",1,"Catching of animals in inland waters (e.g. frogs)"
"0200",1,"1110",1,"Tree nurseries, except forest trees"
"0200",1,"1210",1,"Forestry and related service activities"
"0200",1,"1220",0,"Logging"
"0500",1,"1301",1,"Ocean and coastal fishing"
"0500",1,"1302",1,"Fishing in inland waters; fish hatcheries, cultivated beds; fishery service activities"
"1010",1,"2100",1,"Mining and agglomeration of hard coal"
"1010",1,"2200",1,"On-site gasification of coal"
"1010",1,"3540",1,"Manufacture of briquettes of hard coal, at mining site or from purchased coal"
"1020",1,"2100",1,"Mining and agglomeration of lignite"
"1020",1,"3540",1,"Manufacture of briquettes of lignite, at mining site or from purchased coal"
"1030",1,"2909",1,"Mining and agglomeration of peat"
"1030",1,"3699",1,"Manufacture of peat briquettes (not at mine)"
"1110",0,"2200",1,"Extraction of crude petroleum and natural gas"
"1120",1,"2200",1,"Oil and gas well operation on a contract basis"
"1120",1,"5000",1,"Service activities incidental to oil and gas extraction excluding surveying"
"1200",0,"2302",1,"Mining of uranium and thorium ores"
"1310",0,"2301",0,"Mining of iron ores"
"1320",0,"2302",1,"Mining of non-ferrous metal ores, except uranium and thorium ores"
"1410",1,"2901",1,"Quarrying of building or monumental stone; mining of ceramic or refractory clay, chalk, dolomite; sand and gravel"
"1410",1,"2909",1,"Mining of gypsum, anhydrite"
"1421",0,"2902",0,"Mining of chemical and fertilizer minerals"
"1422",0,"2903",0,"Extraction of salt"
"1429",1,"2901",1,"Mining of feldspar"
"1429",1,"2909",1,"Mining and quarrying of asbestos, mica, quartz, gem stones, abrasives, asphalt and bitumen, other non-metallic minerals, n.e.c."
"1511",1,"3111",1,"Slaughtering, preparing and preserving meat, including sausage, edible animal fats, flours and meals, by-products (hides, bones, etc.)"
"1511",1,"3115",1,"Processing of inedible oils and fats"
"1512",1,"3114",1,"Canning, preserving and processing of fish, crustacea and similar foods (except soups)"
"1512",1,"3115",1,"Production of fish meal"
"1513",1,"3113",1,"Canning and preserving of fruits and vegetables (except soups)"
"1513",1,"3116",1,"Potato flour and meal"
"1513",1,"3121",1,"Processing of fruits and vegetables n.e.c. (e.g. baked beans, grape sugar, juice extracts)"
"1514",0,"3115",1,"Manufacture of vegetable and animal oils and fats"
"1520",0,"3112",0,"Manufacture of dairy products"
"1531",1,"3116",1,"Grain milling: flour, meal, cereal grains; rice milling; vegetable milling; manufacture of breakfast foods"
"1531",1,"3122",1,"Grain milling residues"
"1532",1,"3115",1,"Manufacture of meal, cake of vegetables, nuts"
"1532",1,"3116",1,"Manufacture of tapioca; wet corn milling"
"1532",1,"3121",1,"Manufacture of starch products n.e.c."
"1533",0,"3122",1,"Manufacture of prepared animal feeds"
"1541",0,"3117",1,"Manufacture of bakery products (bread, pastry, etc.)"
"1542",1,"3118",0,"Sugar factories and refineries"
"1542",1,"3121",1,"Production of maple sugar, invert sugar, sugars other than cane or beet"
"1543",1,"3119",1,"Manufacture of cocoa, chocolate and sugar confectionery"
"1543",1,"3121",1,"Manufacture of marshmallow creme"
"1544",1,"3117",1,"Manufacture of macaroni, noodles, couscous and similar farinaceous products"
"1544",1,"3121",1,"Manufacture of pasta-based convenience food products"
"1549",1,"3111",1,"Manufacture of soup containing meat"
"1549",1,"3113",1,"Manufacture of soups of vegetables and fruit"
"1549",1,"3114",1,"Manufacture of fish and seafood soups and specialties"
"1549",1,"3119",1,"Manufacture of nut foods"
"1549",1,"3121",1,"Manufacture of coffee and coffee substitutes, tea, spices, condiments, vinegar, yeast, egg products"
"1551",0,"3131",0,"Distilling, rectifying and blending of spirits; ethyl alcohol production from fermented materials"
"1552",0,"3132",0,"Manufacture of wines"
"1553",0,"3133",0,"Manufacture of malt liquors and malt"
"1554",0,"3134",0,"Manufacture of soft drinks; production of mineral waters"
"1600",0,"3140",0,"Manufacture of tobacco products"
"1711",0,"3211",1,"Preparation and spinning of textile fibres; weaving of textiles"
"1712",1,"3211",1,"Finishing of textiles with or without waterproofing"
"1712",1,"3219",1,"Waterproofing of textiles/fabric, excluding rubberizing"
"1721",1,"3212",1,"Manufacture of made-up textile articles, except apparel"
"1721",1,"3213",1,"Manufacture of knit cloth shoe linings"
"1721",1,"3320",1,"Manufacture of textile window blinds and shades"
"1722",0,"3214",1,"Manufacture of carpets and rugs"
"1723",0,"3215",0,"Manufacture of cordage, rope, twine and netting"
"1729",1,"3211",1,"Manufacture of narrow fabrics, braids, lace"
"1729",1,"3219",1,"Manufacture of fabric for industrial use, wicks; textiles n.e.c. (e.g. felt, coated or laminated fabrics, painters' cloths)"
"1729",1,"3851",1,"Manufacture of sanitary napkins"
"1729",1,"3909",1,"Manufacture of artists' canvas and tracing cloth"
"1730",0,"3213",1,"Manufacture of knitted and crocheted fabrics and articles"
"1810",1,"3212",1,"Manufacture of parts of wearing apparel"
"1810",1,"3220",1,"Manufacture of wearing apparel, except fur apparel"
"1810",1,"3909",1,"Manufacture of hair nets"
"1820",1,"3219",1,"Manufacture of artificial fur; horsehair"
"1820",1,"3220",1,"Manufacture of fur apparel, accessories, trimmings"
"1820",1,"3232",0,"Fur dressing and dyeing industries"
"1911",0,"3231",0,"Tanning and dressing of leather"
"1912",1,"3233",1,"Manufacture of luggage, handbags and the like, saddlery and harness"
"1912",1,"3909",1,"Manufacture of musical instrument cases"
"1920",1,"3240",1,"Manufacture of footwear, except vulcanized or moulded rubber or plastics footwear"
"1920",1,"3319",1,"Manufacture of footwear wholly of wood"
"1920",1,"3419",1,"Manufacture of footwear of paper"
"1920",1,"3559",1,"Manufacture of footwear primarily of vulcanized or moulded rubber"
"1920",1,"3560",1,"Manufacture of plastics footwear"
"2010",1,"3311",1,"Sawmilling and planing of wood, including by-products; manufacture of unassembled wood flooring, wooden railway sleepers; preservation of wood"
"2010",1,"3319",1,"Manufacture of wood flour, sawdust"
"2021",1,"3311",1,"Manufacture of veneers, sheets, plywood, laminated wood, particle board"
