"ISIC4code","partialISIC4","ISIC31code","partialISIC31","Detail"
"0111",0,"0111",1,""
"0112",0,"0111",1,""
"0113",1,"0111",1,"Growing of sugar beet, roots and tubers"
"0113",1,"0112",1,"Production of vegetable seeds, mushrooms and truffles; leafy or stem vegetables, fruit bearing vegetables, root, bulb or tuberous vegetables"
"0114",0,"0111",1,""
"0115",0,"0111",1,""
"0116",0,"0111",1,""
"0119",1,"0111",1,"Growing of forage crops and forage plant seeds, including grain sorghum"
"0119",1,"0112",1,"Growing of flowers, production of flower buds, flower seeds"
"0121",0,"0113",1,""
"0122",0,"0113",1,""
"0123",0,"0113",1,""
"0124",0,"0113",1,""
"0125",1,"0112",1,"Growing of fruit seeds"
"0125",1,"0113",1,"Growing of edible nuts, berries, other tree and bush fruits (e.g. locust beans)"
"0126",1,"0111",1,"Growing of oleaginous fruits, except coconuts or olives"
"0126",1,"0113",1,"Growing of olives and coconuts"
"0127",0,"0113",1,""
"0128",1,"0111",1,"Growing of: hops; plants used chiefly in pharmacy or for insecticidal, fungicidal or similar purposes"
"0128",1,"0112",1,"Growing of aromatic crops, e.g. chilies and peppers (capsicum spp.)"
"0128",1,"0113",1,"Growing of spice crops (e.g. pepper (piper spp.), anise, cinnamon, cloves, ginger, nutmeg)"
"0129",1,"0111",1,"Growing of rubber trees; growing of vegetable materials primarily used for plaiting"
"0129",1,"0112",1,"Growing of trees for gathering of maple sap"
"0129",1,"0200",1,"Growing of Christmas trees"
"0130",1,"0112",1,"Growing of plants for planting or for ornamental purposes, including turf for transplanting; mushroom spawn"
"0130",1,"0200",1,"Operation of tree nurseries, except forest tree nurseries"
"0141",0,"0121",1,""
"0142",0,"0121",1,""
"0143",0,"0122",1,""
"0144",0,"0121",1,""
"0145",0,"0122",1,""
"0146",0,"0122",1,""
"0149",0,"0122",1,""
"0150",0,"0130",0,""
"0161",0,"0140",1,""
"0162",1,"0140",1,"Support activities for animal production"
"0162",1,"2892",1,"Activities of farriers"
"0163",1,"0111",1,"Preliminary processing of tobacco leaves"
"0163",1,"0140",1,"Post harvest crop activities (except preliminary processing of tobacco)"
"0164",0,"0140",1,""
"0170",0,"0150",1,""
"0210",0,"0200",1,""
"0220",0,"0200",1,""
"0230",1,"0112",1,"Gathering of mushrooms or truffles"
"0230",1,"0113",1,"Gathering of berries or nuts"
"0230",1,"0200",1,"Gathering of non-wood forest products"
"0240",0,"0200",1,""
"0311",0,"0501",1,""
"0312",0,"0501",1,""
"0321",1,"0122",1,"Raising of saltwater reptiles and frogs in basins"
"0321",1,"0502",1,"Marine aquaculture"
"0322",1,"0122",1,"Raising of freshwater reptiles and frogs in basins"
"0322",1,"0502",1,"Freshwater aquaculture"
"0510",0,"1010",1,""
"0520",0,"1020",1,""
"0610",0,"1110",1,""
"0620",0,"1110",1,""
"0710",0,"1310",1,""
"0721",0,"1200",1,""
"0729",0,"1320",1,""
"0810",1,"1410",1,"Quarrying of stone, sand and clay (see other links for exceptions)"
"0810",1,"1429",1,"Schists, dimension and crushed or broken"
"0891",0,"1421",1,""
"0892",0,"1030",1,""
"0893",0,"1422",1,""
"0899",0,"1429",1,""
"0910",1,"1110",1,"Liquefaction and regasification of natural gas (at the mine site)"
"0910",1,"1120",0,""
"0910",1,"7421",1,"Oil and gas field exploration"
"0990",1,"1010",1,"Support services for hard coal mining"
"0990",1,"1020",1,"Support services for lignite mining"
"0990",1,"1030",1,"Support services for peat mining"
"0990",1,"1200",1,"Support services for uranium and thorium mining"
"0990",1,"1310",1,"Support services for iron ore mining"
"0990",1,"1320",1,"Support services for other metal ore mining"
"0990",1,"1410",1,"Support services for sand, stone and clay quarrying"
"0990",1,"1421",1,"Support services for chemical and fertilizer mining"
"0990",1,"1422",1,"Support services for salt extraction"
"0990",1,"1429",1,"Support services for other mining and quarrying"
"0990",1,"4510",1,"Test drilling for mining"
"0990",1,"7421",1,"Exploration of mine sites, except oil and gas"
"1010",0,"1511",0,""
"1020",0,"1512",1,""
"1030",1,"1513",1,"Processing and preserving of fruit and vegetables, except manufacture of tofu and prepared dishes of vegetables"
"1030",1,"1549",1,"Manufacture of tofu (bean curd)"
"1040",0,"1514",0,""
"1050",0,"1520",0,""
"1061",0,"1531",0,""
"1062",0,"1532",0,""
"1071",1,"1541",0,""
"1071",1,"1549",1,"Manufacture of snack products, such as corn chips, pretzels and tortilla chips, not prepared by baking"
"1072",0,"1542",0,""
"1073",0,"1543",0,""
"1074",0,"1544",1,""
"1075",1,"1512",1,"Manufacture of prepared fish dishes"
"1075",1,"1513",1,"Manufacture of prepared dishes of vegetables"
"1075",1,"1544",1,"Prepared couscous dishes, prepared pasta dishes"
"1075",1,"1549",1,"Production of prepared meat dishes; manufacture of frozen pizza; canned stews and vacuum-prepared meals"
"1079",1,"1549",1,"Manufacture of food products not elsewhere classified"
"1079",1,"2429",1,"Processing of salt"
"1080",0,"1533",0,""
"1101",0,"1551",1,""
"1102",1,"0113",1,"Production of wine from self-grown grapes"
"1102",1,"1552",0,""
"1103",0,"1553",0,""
"1104",0,"1554",0,""
"1200",0,"1600",0,""
"1311",0,"1711",1,""
"1312",1,"1711",1,"Weaving of textiles"
"1312",1,"2699",1,"Carbon woven fabrics"
"1313",1,"1712",0,""
"1313",1,"1729",1,"Waterproofing and coating of textiles"
"1313",1,"1810",1,"Waterproofing of garments"
"1391",0,"1730",1,""
"1392",1,"1721",1,"Manufacture of made-up textile articles from purchased fabrics"
"1392",1,"3430",1,"Textile headliners, panels, seat belts"
"1393",0,"1722",0,""
"1394",0,"1723",1,""
"1399",1,"1729",1,"Manufacture of narrow woven fabrics, labels, ornamental trimmings, felt, tulles, metallized yarn and the like, tyre cord fabric, treated or coated fabrics, artists' canvas boards, textile shoe laces, diverse textile articles"
"1399",1,"3699",1,"Manufacture of powder puffs and mitts"
"1410",0,"1810",1,""
"1420",0,"1820",1,""
"1430",0,"1730",1,""
"1511",1,"1820",1,"Dressing and dyeing of fur; manufacture of artificial fur"
"1511",1,"1911",0,""
"1512",1,"1912",1,"Manufacture of luggage and other leather products, except shoe laces, riding crops and lineman's safety and similar belts"
"1512",1,"1920",1,"Manufacture of leather shoe laces"
"1512",1,"3699",1,"Manufacture of horse whips and riding crops"
"1520",0,"1920",1,""
"1610",0,"2010",0,""
"1621",0,"2021",0,""
"1622",0,"2022",0,""
"1623",0,"2023",1,""
"1629",1,"1920",1,"Manufacture of wooden shoe parts (e.g. heels)"
"1629",1,"2029",1,"Manufacture of various wood products, fire logs etc."
"1629",1,"3699",1,"Manufacture of handles for umbrellas, canes and similar, blocks for the manufacture of smoking pipes and similar wood products"
"1701",0,"2101",0,""
"1702",0,"2102",0,""
"1709",1,"1729",1,"Manufacture of textile wadding and articles of wadding: sanitary towels, tampons etc.,"
"1709",1,"2109",1,"Manufacture of household articles of paper, printing and writing paper, adhesive paper, envelopes, boxes containing an assortment of stationery, wall paper, filter paper, labels, paper bobbins and the like, moulded paper packaging products"
"1709",1,"2221",1,"Printed registers, accounting books, albums etc."
"1709",1,"3699",1,"Manufacture of paper novelties"
"1811",1,"2109",1,"Printing of labels"
"1811",1,"2221",1,"Printing, except: printing of labels, silk-screen printing on textiles, ""while-you-wait"" printing services"
"1811",1,"2892",1,"Printing on metals"
"1812",0,"2222",0,""
"1820",0,"2230",0,""
"1910",1,"2310",0,""
"1910",1,"2411",1,"Production of pitch and pitch coke"
"1920",1,"1010",1,"Manufacture of hard-coal briquettes"
"1920",1,"1020",1,"Manufacture of lignite briquettes"
"1920",1,"2320",0,""
"2011",1,"1551",1,"Production of ethyl alcohol from fermented materials"
"2011",1,"2330",1,"Enrichment of uranium and thorium ores"
"2011",1,"2411",1,"Manufacture of basic chemicals"
"2011",1,"2429",1,"Manufacture of distilled water"
"2012",0,"2412",1,""
"2013",0,"2413",0,""
"2021",0,"2421",0,""
"2022",0,"2422",0,""
"2023",0,"2424",0,""
"2029",1,"2429",1,"Manufacture of other chemical products, except matches, processed salt"
"2029",1,"3699",1,"Manufacture of matches"
"2030",0,"2430",0,""
"2100",1,"2330",1,"Manufacture of radioactive in-vivo diagnostic substances"
"2100",1,"2423",1,"Excluding manufacture of radioactive in-vivo diagnostic substances and manufacture of dental fillings and bone reconstruction cements"
"2211",0,"2511",0,""
"2219",1,"1920",1,"Manufacture of rubber boot and shoe heels and soles and other rubber footwear parts"
"2219",1,"2519",1,"Manufacture of rubber and rubber products (see other links for exceptions)"
"2219",1,"3610",1,"Manufacture of rubber waterbed mattresses"
"2219",1,"3699",1,"Manufacture of hard rubber combs, hair pins, hair rollers, rubber brushes"
"2220",1,"1920",1,"Manufacture of plastic footwear parts"
"2220",1,"2109",1,"Manufacture of plastic wallpaper"
"2220",1,"2519",1,"Manufacture of rubber floor coverings"
"2220",1,"2520",1,"Manufacture of plastic products (see other links for exceptions)"
"2220",1,"3610",1,"Plastic waterbed mattresses"
"2220",1,"3699",1,"Manufacture of combs of plastic, linoleum floor coverings, plastic novelties"
"2310",0,"2610",1,""
"2391",0,"2692",0,""
"2392",1,"2691",1,"Manufacture of ceramic sanitary fixtures"
"2392",1,"2693",0,""
"2393",0,"2691",1,""
"2394",0,"2694",0,""
"2395",0,"2695",0,""
"2396",0,"2696",0,""
"2399",0,"2699",1,""
"2410",0,"2710",1,""
"2420",1,"2330",1,"Production of uranium metal from pitchblende or other ores; smelting and refining of uranium"
"2420",1,"2720",0,""
"2431",1,"2710",1,"Manufacture of tubes, pipes and fittings of cast-iron or cast-steel, seamless tubes and pipes of steel by centrifugal casting"
"2431",1,"2731",0,""
"2432",0,"2732",0,""
"2511",0,"2811",1,""
"2512",0,"2812",1,""
"2513",0,"2813",1,""
"2520",0,"2927",1,""
"2591",0,"2891",0,""
"2592",0,"2892",1,""
"2593",1,"2893",1,"Manufacture of cutlery, hand tools and general hardware; except manufacture of moulding boxes and moulds"
"2593",1,"2929",1,"Manufacture of moulding boxes and moulds (except ingot moulds)"
"2599",1,"2899",1,"Manufacture of other fabricated metal products (see other links for exceptions)"
"2599",1,"3190",1,"Manufacture of permanent metallic magnets"
"2599",1,"3699",1,"Manufacture of metal vacuum jugs and bottles, badges, combs, frames etc."
"2610",1,"2429",1,"Manufacture of semifinished dice or wafers, semiconductors"
"2610",1,"2520",1,"Technical laminates used to produce printed circuit boards"
"2610",1,"3000",1,"Manufacture of computer modems"
"2610",1,"3110",1,"Manufacture of electronic transformers (solid state), coils, chokes, and other inductors"
"2610",1,"3120",1,"Manufacture of electronic connectors such as cylindrical, rack and panel, printed circuit, etc.; electronic switches, such as snap, toggle, rocker, etc., for use in electronic apparatus"
"2610",1,"3130",1,"Manufacture of printer cables, monitor cables, USB cables, connectors etc."
"2610",1,"3210",1,"Manufacture of electronic components and boards"
"2610",1,"3230",1,"Manufacture of heads (pickup, recording, read/write, etc.), phonograph needles"
"2620",0,"3000",1,""
"2630",1,"3190",1,"Manufacture of burglar and fire alarm systems"
"2630",1,"3220",1,"Manufacture of communication equipment, except remote controls, pagers, burglar and fire alarm systems, installation of communications equipment"
"2630",1,"3230",1,"Manufacture of infrared devices (e.g. remote controls), pagers"
"2640",1,"3230",1,"Manufacture of consumer electronics, except video game consoles and digital cameras"
"2640",1,"3694",1,"Manufacture of video game consoles"
"2651",1,"3190",1,"Manufacture of pulse generators"
"2651",1,"3220",1,"Manufacture of GPS equipment"
"2651",1,"3312",1,"Manufacture of measuring, testing, navigating and control equipment"
"2651",1,"3313",1,"Manufacture of industrial process control equipment"
"2652",0,"3330",1,""
"2660",0,"3311",1,""
"2670",1,"3230",1,"Manufacture of digital cameras"
"2670",1,"3312",1,"Manufacture of optical range finders"
"2670",1,"3320",1,"Manufacture of optical instruments and photographic equipment; except digital cameras, optical fibres and optical fibre cables, mirrors, reflectors and optical range finders"
"2680",0,"2429",1,""
"2710",1,"3110",1,"Manufacture of electric motors, generators and transformers, except turbine-generator sets"
"2710",1,"3120",1,"Manufacture of electricity distribution and control apparatus, except wiring devices"
"2720",0,"3140",1,""
"2731",1,"3130",1,"Manufacture of fibre optic cable for data transmission"
"2731",1,"3320",1,"Manufacture of fibre optic cable for live transmission of images"
"2732",0,"3130",1,""
"2733",1,"2520",1,"Manufacture of plastic non current carrying wiring devices (junction boxes, face plates etc.)"
"2733",1,"3120",1,"Manufacture of wiring devices"
"2733",1,"3190",1,"Manufacture of indicator panels; electrical conduit tubing and joints for such tubing, of base metal lined with insulating material"
"2740",1,"3150",1,"Manufacture of electric lighting equipment, including for railways, aircraft, boats; except electrical signs"
"2740",1,"3190",1,"Manufacture of lighting equipment for motor vehicles, electrical fireplace logs, electrical insect lamps"
"2750",0,"2930",1,""
"2790",1,"2922",1,"Manufacture of electric welding, brazing or soldering equipment"
"2790",1,"2929",1,"Manufacture of ultrasonic cleaning machines (except laboratory and dental)"
"2790",1,"3110",1,"Manufacture of battery chargers, rectifiers, solid-state inverters"
"2790",1,"3120",1,"Manufacture of surge suppressors"
"2790",1,"3130",1,"Manufacture of extension cords"
"2790",1,"3150",1,"Manufacture of electrical signs"
"2790",1,"3190",1,"Manufacture of other electrical equipment"
"2790",1,"3210",1,"Manufacture of solid-state fuel cells, power supplies; manufacture of non-electronic electric components, such as non-electronic capacitors, resistors etc. (e.g. power capacitors)"
"2811",1,"2911",1,"Manufacture of engines and turbines, except aircraft, vehicle and cycle engines; excluding pistons, piston rings, carburetors, inlet and exhaust valves for internal combustion engines, turbine-generator sets"
"2811",1,"2912",1,"Manufacture of carburetors"
"2811",1,"3110",1,"Manufacture of turbine-generator sets"
"2811",1,"3430",1,"Manufacture of pistons and piston rings, inlet and exhaust valves etc. for motor vehicle engines"
"2811",1,"3530",1,"Manufacture of pistons and piston rings, inlet and exhaust valves etc. for aircraft engines"
"2811",1,"3591",1,"Manufacture of pistons and piston rings, inlet and exhaust valves etc. for cycle engines"
"2812",1,"2519",1,"Rubber fluid power hose assemblies with fittings (but not valves or similar accessories)"
"2812",1,"2912",1,"Manufacture of fluid power equipment"
"2812",1,"2913",1,"Manufacture of hydraulic transmission equipment"
"2813",0,"2912",1,""
"2814",0,"2913",1,""
"2815",1,"2914",1,"Manufacture of ovens, furnaces and furnace burners, except permanent-mount heating equipment and household-type furnaces; excluding repair and installation"
"2815",1,"2930",1,"Manufacture of electric space heaters (non-portable), household-type furnaces etc."
"2816",1,"2915",1,"Manufacture of lifting and handling equipment, except hand trucks and wheelbarrows; excluding repair and installation"
"2816",1,"3599",1,"Manufacture of hand trucks and wheelbarrows"
"2817",1,"2429",1,"Manufacture of toner cartridges"
"2817",1,"2899",1,"Manufacture of white boards and marker boards"
"2817",1,"3000",1,"Manufacture of office machinery and equipment, except computers and peripheral equipment"
"2817",1,"3230",1,"Manufacture of dictating machines"
"2817",1,"3610",1,"Manufacture of blackboards"
"2818",0,"2922",1,""
"2819",1,"2919",1,"Manufacture of general-purpose machinery (see other links for exceptions)"
"2819",1,"2922",1,"Manufacture of non-electric welding, brazing or soldering equipment"
"2819",1,"2930",1,"Manufacture of attic ventilation fans"
"2819",1,"3312",1,"Manufacture of machinists precision tools (except optical), levels, tape measures etc."
"2821",0,"2921",1,""
"2822",1,"2922",1,"Manufacture of metal-forming machinery and machine tools; except manufacture of power-driven hand tools; welding, brazing or soldering machines"
"2822",1,"3190",1,"Manufacture of electroplating machinery"
"2823",0,"2923",1,""
"2824",0,"2924",1,""
"2825",0,"2925",1,""
"2826",1,"2926",1,"Manufacture of machinery for textile, apparel and leather production, except textile printing machinery"
"2826",1,"2929",1,"Manufacture of textile printing machinery and industrial clothes-dryers"
"2829",1,"2929",1,"Manufacture of other special purpose machinery"
"2829",1,"3312",1,"Manufacture of tire alignment and balancing equipment; balancing equipment (except wheel balancing)"
"2829",1,"3320",1,"Manufacture of photolithography equipment for semiconductor manufacture"
"2829",1,"3530",1,"Manufacture of aircraft launching gear, catapults etc."
"2829",1,"3694",1,"Manufacture of automatic bowling alley equipment"
"2829",1,"3699",1,"Manufacture of roundabouts, swings, shooting galleries and other fairground amusements"
"2910",0,"3410",0,""
"2920",0,"3420",1,""
"2930",1,"3190",1,"Manufacture of motor vehicle electrical equipment"
"2930",1,"3430",1,"Manufacture of parts and accessories for motor vehicles; except manufacture of car seats, motor vehicle electrical equipment, inlet and exhaust valves of internal combustion engines"
"2930",1,"3610",1,"Manufacture of car seats"
"3011",1,"3511",1,"Except repair and maintenance of ships"
"3011",1,"3610",1,"Manufacture of seats for ships and floating structures"
"3012",0,"3512",1,""
"3020",1,"3190",1,"Manufacture of mechanical and electromechanical signaling, safety and traffic control equipment for railways, tramways, inland waterways, roads, parking facilities, airfields etc."
"3020",1,"3520",1,"Manufacture of railway locomotives and rolling stock; except manufacture of railway car seats and lighting fixtures, repair of railway cars etc."
"3020",1,"3610",1,"Manufacture of railway car seats"
"3030",1,"2927",1,"Manufacture of intercontinental ballistic missiles (ICBM)"
"3030",1,"3530",1,"Manufacture of air and spacecraft; except manufacture of aircraft seats and lighting fixtures, repair of aircraft"
"3030",1,"3610",1,"Manufacture of aircraft seats"
"3040",0,"2927",1,""
"3091",0,"3591",1,""
"3092",1,"3592",0,""
"3092",1,"3699",1,"Manufacture of baby carriages"
"3099",0,"3599",1,""
"3100",1,"3599",1,"Manufacture of restaurant carts etc."
"3100",1,"3610",1,"Manufacture of furniture (see other links for exceptions)"
"3211",1,"3330",1,"Manufacture of watch bands of precious metal"
"3211",1,"3691",0,""
"3212",1,"3330",1,"Manufacture of watch bands of non-precious metal"
