HS 1996 Product Code,HS 1996 Product Description,ISIC Revision 2 Product Code,ISIC Revision 2 Product Description
010111,Horses :-- Pure-bred breeding animals,1110,Agricultural and livestock production
010119,Horses :-- Other,1110,Agricultural and livestock production
010120,"Asses, mules and hinnies",1110,Agricultural and livestock production
010210,Pure-bred breeding animals,1110,Agricultural and livestock production
010290,Other,1110,Agricultural and livestock production
010310,Pure-bred breeding animals,1110,Agricultural and livestock production
010391,Other :-- Weighing less than 50 kg,1110,Agricultural and livestock production
010392,Other :-- Weighing 50 kg or more,1110,Agricultural and livestock production
010410,Sheep,1110,Agricultural and livestock production
010420,Goats,1110,Agricultural and livestock production
010511,Weighing not more than 185 g :-- Fowls of the species Gallus domesticus,1110,Agricultural and livestock production
010512,Weighing not more than 185 g :-- Turkeys,1110,Agricultural and livestock production
010519,Weighing not more than 185 g :-- Other,1110,Agricultural and livestock production
010592,"Other :-- Fowls of the species Gallus domesticus, weighing not more than 2,000 g",1110,Agricultural and livestock production
010593,"Other :-- Fowls of the species Gallus domesticus, weighing more than 2,000 g",1110,Agricultural and livestock production
010599,Other,1110,Agricultural and livestock production
010600,Other live animals.,1130,"Hunting, trapping and game propagation"
020110,Carcasses and half-carcasses,3111,"Slaughtering, preparing and preserving meat"
020120,Other cuts with bone in,3111,"Slaughtering, preparing and preserving meat"
020130,Boneless,3111,"Slaughtering, preparing and preserving meat"
020210,Carcasses and half-carcasses,3111,"Slaughtering, preparing and preserving meat"
020220,Other cuts with bone in,3111,"Slaughtering, preparing and preserving meat"
020230,Boneless,3111,"Slaughtering, preparing and preserving meat"
020311,Fresh or chilled :-- Carcasses and half-carcasses,3111,"Slaughtering, preparing and preserving meat"
020312,"Fresh or chilled :-- Hams, shoulders and cuts thereof, with bone in",3111,"Slaughtering, preparing and preserving meat"
020319,Fresh or chilled :-- Other,3111,"Slaughtering, preparing and preserving meat"
020321,Frozen :-- Carcasses and half-carcasses,3111,"Slaughtering, preparing and preserving meat"
020322,"Frozen :-- Hams, shoulders and cuts thereof, with bone in",3111,"Slaughtering, preparing and preserving meat"
020329,Frozen :-- Other,3111,"Slaughtering, preparing and preserving meat"
020410,"Carcasses and half-carcasses of lamb, fresh or chilled",3111,"Slaughtering, preparing and preserving meat"
020421,"Other meat of sheep, fresh or chilled :-- Carcasses and half-carcasses",3111,"Slaughtering, preparing and preserving meat"
020422,"Other meat of sheep, fresh or chilled :-- Other cuts with bone in",3111,"Slaughtering, preparing and preserving meat"
020423,"Other meat of sheep, fresh or chilled :-- Boneless",3111,"Slaughtering, preparing and preserving meat"
020430,"Other meat of sheep, fresh or chilled :- Carcasses and half-carcasses of lamb, frozen",3111,"Slaughtering, preparing and preserving meat"
020441,"Other meat of sheep, frozen :-- Carcasses and half-carcasses",3111,"Slaughtering, preparing and preserving meat"
020442,"Other meat of sheep, frozen :-- Other cuts with bone in",3111,"Slaughtering, preparing and preserving meat"
020443,"Other meat of sheep, frozen :-- Boneless",3111,"Slaughtering, preparing and preserving meat"
020450,Meat of goats,3111,"Slaughtering, preparing and preserving meat"
020500,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen.",3111,"Slaughtering, preparing and preserving meat"
020610,"Of bovine animals, fresh or chilled",3111,"Slaughtering, preparing and preserving meat"
020621,"Of bovine animals, frozen :-- Tongues",3111,"Slaughtering, preparing and preserving meat"
020622,"Of bovine animals, frozen :-- Livers",3111,"Slaughtering, preparing and preserving meat"
020629,"Of bovine animals, frozen :-- Other",3111,"Slaughtering, preparing and preserving meat"
020630,"Of swine, fresh or chilled",3111,"Slaughtering, preparing and preserving meat"
020641,"Of swine, frozen :-- Livers",3111,"Slaughtering, preparing and preserving meat"
020649,"Of swine, frozen :-- Other",3111,"Slaughtering, preparing and preserving meat"
020680,"Other, fresh or chilled",3111,"Slaughtering, preparing and preserving meat"
020690,"Other, frozen",3111,"Slaughtering, preparing and preserving meat"
020711,"Of fowls of the species Gallus domesticus :-- Not cut in pieces, fresh or chilled",3111,"Slaughtering, preparing and preserving meat"
020712,"Of fowls of the species Gallus domesticus :-- Not cut in pieces, frozen",3111,"Slaughtering, preparing and preserving meat"
020713,"Of fowls of the species Gallus domesticus :-- Cuts and offal, fresh or chilled",3111,"Slaughtering, preparing and preserving meat"
020714,"Of fowls of the species Gallus domesticus :-- Cuts and offal, frozen",3111,"Slaughtering, preparing and preserving meat"
020724,"Of turkeys :-- Not cut in pieces, fresh or chilled",3111,"Slaughtering, preparing and preserving meat"
020725,"Of turkeys :-- Not cut in pieces, frozen",3111,"Slaughtering, preparing and preserving meat"
020726,"Of turkeys :-- Cuts and offal, fresh or chilled",3111,"Slaughtering, preparing and preserving meat"
020727,"Of turkeys :-- Cuts and offal, frozen",3111,"Slaughtering, preparing and preserving meat"
020732,"Of ducks, geese or guinea fowls :-- Not cut in pieces, fresh or chilled",3111,"Slaughtering, preparing and preserving meat"
