HS 2007 Product Code,HS 2007 Product Description,SITC Revision 3 Product Code,SITC Revision 3 Product Description
010110,Live horses/asses/mules/hinnies: pure-bred breeding animals,00151,Horses
010190,Live horses/asses/mules/hinnies other than pure-bred breeding animals,00152,"Asses/mules/hinnies,live"
010210,Live bovine animals: pure-bred breeding animals,00111,"Bovine animals, breeding"
010290,Live bovine animals other than pure-bred breeding animals,00119,"Bovine animals, other"
010310,Live swine: pure-bred breeding animals,00131,"Swine, live for breeding"
010391,"Live swine other than pure-bred breeding animals, weighing < 50kg",00139,"Swine, live, other"
010392,"Live swine other than pure-bred breeding animals, weighing 50kg/more",00139,"Swine, live, other"
010410,Live sheep,00121,"Sheep,live"
010420,Live goats,00122,"Goats,live"
010511,"Live fowls of species Gallus domesticus, weighing not >185g",00141,"Poultry,live,max 185 gm"
010512,"Live turkeys, weighing not >185g",00141,"Poultry,live,max 185 gm"
010519,"Live ducks/geese/guinea fowls, weighing not >185g",00141,"Poultry,live,max 185 gm"
010594,"Live fowls of species Gallus domesticus, weighing > 185g",00149,"Poultry live,over 185 gm"
010599,"Live ducks/geese/turkeys/guinea fowls, weighing >185g",00149,"Poultry live,over 185 gm"
010611,Live primates,0019,Live animals n.e.s.
010612,Live whales/dolphins & porpoises (order Cetacea)/manatees & dugongs (order Sirenia),0019,Live animals n.e.s.
010619,"Live mammals, n.e.s.",0019,Live animals n.e.s.
010620,"Live reptiles, incl. snakes & turtles",0019,Live animals n.e.s.
010631,Live birds of prey,0019,Live animals n.e.s.
010632,"Live birds (order Psittaciformes), incl. parrots/parakeets/macaws/cockatoos",0019,Live animals n.e.s.
010639,Live birds (excl. of 0106.31 & 0106.32),0019,Live animals n.e.s.
010690,"Live animals, n.e.s.",0019,Live animals n.e.s.
020110,"Carcasses/half-carcasses of bovine animals, fresh/chilled",01111,"Beef fresh/chld,bone in"
020120,"Meat of bovine animals, fresh/chilled (excl. of 0201.10), bone-in",01111,"Beef fresh/chld,bone in"
020130,"Meat of bovine animals, fresh/chilled, boneless",01112,Beef fresh/chld boneless
020210,"Carcasses/half-carcasses of bovine animals, frozen",01121,"Beef, frozen, bone in"
020220,"Meat of bovine animals, frozen (excl. of 0202.10), bone-in",01121,"Beef, frozen, bone in"
020230,"Meat of bovine animals, frozen, boneless",01122,"Beef, frozen, boneless"
020311,"Carcasses/half-carcasses of swine, fresh/chilled",01221,Pork fresh/chilled
