HS - Combined  Product Code,HS - Combined  Product Description,SITC Revision 2 Product Code,SITC Revision 2 Product Description
010110,(2002-) Purebred breeding animals,0015,"Horses, asses, mules and hinnies, live"
010111,(-2001) Horses :-- Pure-bred breeding animals,0015,"Horses, asses, mules and hinnies, live"
010119,(-2001) Horses :-- Other,0015,"Horses, asses, mules and hinnies, live"
010120,"(-2001) Asses, mules and hinnies",0015,"Horses, asses, mules and hinnies, live"
010190,(2002-) Other,0015,"Horses, asses, mules and hinnies, live"
010210,Purebred breeding animals,00111,"Bovine species pure bred,for breeding"
010290,Other,00119,Bovine species other than pure bred breeding stock
010310,Purebred breeding animals,0013,"Swine, live"
010391,Weighing less than 50 kg,0013,"Swine, live"
010392,Weighing 50 kg or more,0013,"Swine, live"
010410,Sheep,00121,"Sheep, live"
010420,Goats,00122,"Goats, live"
010511,Fowls of the species Gallus domesticus,00141,"Poultry,live of a weight not exceeding 185 grammes"
010512,(1996-) Turkeys,00141,"Poultry,live of a weight not exceeding 185 grammes"
010519,Other,00141,"Poultry,live of a weight not exceeding 185 grammes"
010591,(-1995) Live fowls of species Gallus domesticus (c,00149,"Poultry,live of a weight exceeding 185 grammes"
010592,"(1996-2006) Fowls of the species Gallus domesticus, weighing not more than 2,000 g",00149,"Poultry,live of a weight exceeding 185 grammes"
010593,"(1996-2006) Fowls of the species Gallus domesticus, weighing more than 2,000 g",00149,"Poultry,live of a weight exceeding 185 grammes"
010599,Other,00149,"Poultry,live of a weight exceeding 185 grammes"
010600,(-2001) Other live animals.,9410,"Animals,live,n.e.s.,incl. zoo-animals"
010611,(2002-) Primates,9410,"Animals,live,n.e.s.,incl. zoo-animals"
010612,"(2002-) Whales, dolphins and porpoises (mammals of the order       Cetacea); manatees and dugongs (mammals of the order  Sirenia)",9410,"Animals,live,n.e.s.,incl. zoo-animals"
010619,(2002-) Other,9410,"Animals,live,n.e.s.,incl. zoo-animals"
010620,(2002-) Reptiles (including snakes and turtles),9410,"Animals,live,n.e.s.,incl. zoo-animals"
010631,(2002-) Birds of prey,9410,"Animals,live,n.e.s.,incl. zoo-animals"
