HS 1988/92 Product Code,HS 1988/92 Product Description,ISIC Revision 3 Product Code,ISIC Revision 3 Product Description
010111,Live pure bred breeding horses,0121,"Farming of cattle, sheep, goats, horses, asses, mules and  hinnies; dairy farming"
010119,"Live horses, other than for pure-bred breeding",0121,"Farming of cattle, sheep, goats, horses, asses, mules and  hinnies; dairy farming"
010120,Live asses mules and hinnies,0121,"Farming of cattle, sheep, goats, horses, asses, mules and  hinnies; dairy farming"
010210,Live pure-bred breeding bovine animals,0121,"Farming of cattle, sheep, goats, horses, asses, mules and  hinnies; dairy farming"
010290,"Live bovine animals, other than pure-bred breed",0121,"Farming of cattle, sheep, goats, horses, asses, mules and  hinnies; dairy farming"
010310,Live pure-bred breeding swine,0122,Other animal farming; production of animal products n.e.c.
010391,Live swine weighing <50kg (excl. pure-bred bree,0122,Other animal farming; production of animal products n.e.c.
010392,Live swine weighing >=50kg (excl. pure-bred bre,0122,Other animal farming; production of animal products n.e.c.
010410,Live sheep,0121,"Farming of cattle, sheep, goats, horses, asses, mules and  hinnies; dairy farming"
010420,Live goats,0121,"Farming of cattle, sheep, goats, horses, asses, mules and  hinnies; dairy farming"
010511,"Live fowls of species Gallus domesticus, weighi",0122,Other animal farming; production of animal products n.e.c.
010519,"Live ducks, geese, turkeys and guinea fowls, we",0122,Other animal farming; production of animal products n.e.c.
010591,Live fowls of species Gallus domesticus (chicke,0122,Other animal farming; production of animal products n.e.c.
010599,"Live ducks, geese, turkeys and guinea fowls, we",0122,Other animal farming; production of animal products n.e.c.
010600,"Other live animals, nes",0122,Other animal farming; production of animal products n.e.c.
020110,Fresh or chilled bovine carcasses and half carc,1511,"Production, processing and preserving of meat and meat products"
020120,Fresh or chilled unboned bovine meat (excl. car,1511,"Production, processing and preserving of meat and meat products"
020130,Fresh or chilled boneless bovine meat,1511,"Production, processing and preserving of meat and meat products"
020210,Frozen bovine carcasses and half carcasses,1511,"Production, processing and preserving of meat and meat products"
020220,Frozen unboned bovine meat (excl. carcasses),1511,"Production, processing and preserving of meat and meat products"
020230,Frozen boneless bovine meat,1511,"Production, processing and preserving of meat and meat products"
020311,Fresh or chilled swine carcasses and half carca,1511,"Production, processing and preserving of meat and meat products"
020312,"Fresh or chilled unboned hams, shoulders and cu",1511,"Production, processing and preserving of meat and meat products"
020319,"Fresh or chilled swine meat, nes (unboned)",1511,"Production, processing and preserving of meat and meat products"
020321,Frozen swine carcasses and half carcasses,1511,"Production, processing and preserving of meat and meat products"
020322,"Frozen unboned hams, shoulders and cuts thereof",1511,"Production, processing and preserving of meat and meat products"
020329,"Frozen swine meat, nes",1511,"Production, processing and preserving of meat and meat products"
020410,Fresh or chilled lamb carcasses and half carcas,1511,"Production, processing and preserving of meat and meat products"
020421,Fresh or chilled sheep carcasses and half carca,1511,"Production, processing and preserving of meat and meat products"
020422,Fresh or chilled unboned meat of sheep,1511,"Production, processing and preserving of meat and meat products"
020423,Fresh or chilled boneless meat of sheep,1511,"Production, processing and preserving of meat and meat products"
020430,Frozen lamb carcasses and half carcasses,1511,"Production, processing and preserving of meat and meat products"
020441,Frozen sheep carcasses and half carcasses (excl,1511,"Production, processing and preserving of meat and meat products"
020442,Frozen unboned meat of sheep,1511,"Production, processing and preserving of meat and meat products"
020443,Frozen boned meat of sheep,1511,"Production, processing and preserving of meat and meat products"
020450,"Fresh, chilled or frozen goat meat",1511,"Production, processing and preserving of meat and meat products"
020500,"Meat of horses, asses, mules or hinnies, fresh,",1511,"Production, processing and preserving of meat and meat products"
020610,Fresh or chilled edible bovine offal,1511,"Production, processing and preserving of meat and meat products"
020621,Frozen bovine tongues,1511,"Production, processing and preserving of meat and meat products"
020622,Frozen bovine livers,1511,"Production, processing and preserving of meat and meat products"
020629,Frozen edible bovine offal (excl. tongues and l,1511,"Production, processing and preserving of meat and meat products"
020630,Fresh or chilled edible swine offal,1511,"Production, processing and preserving of meat and meat products"
020641,Frozen swine livers,1511,"Production, processing and preserving of meat and meat products"
020649,Frozen edible swine offal (excl. livers),1511,"Production, processing and preserving of meat and meat products"
020680,"Fresh or chilled edible offal of sheep, goats,",1511,"Production, processing and preserving of meat and meat products"
020690,"Frozen edible offal of sheep, goats, horses...",1511,"Production, processing and preserving of meat and meat products"
020710,Fresh or chilled whole poultry,1511,"Production, processing and preserving of meat and meat products"
020721,Frozen whole chickens,1511,"Production, processing and preserving of meat and meat products"
020722,Frozen whole turkeys,1511,"Production, processing and preserving of meat and meat products"
020723,"Frozen whole ducks, geese and guinea fowls",1511,"Production, processing and preserving of meat and meat products"
020731,Fresh or chilled fatty livers of geese or ducks,1511,"Production, processing and preserving of meat and meat products"
020739,Fresh or chilled poultry cuts and offal (excl.,1511,"Production, processing and preserving of meat and meat products"
020741,Frozen cuts and offal of chicken (excl. livers),1511,"Production, processing and preserving of meat and meat products"
020742,Frozen cuts and offal of turkey (excl. livers),1511,"Production, processing and preserving of meat and meat products"
020743,"Frozen cuts and offal of geese, ducks and guine",1511,"Production, processing and preserving of meat and meat products"
020750,Frozen poultry livers,1511,"Production, processing and preserving of meat and meat products"
020810,"Fresh, chilled or frozen meat and edible offal",1511,"Production, processing and preserving of meat and meat products"
020820,"Fresh, chilled or frozen frogs' legs",0122,Other animal farming; production of animal products n.e.c.
020890,"Fresh, chilled or frozen meat and edible offal,",1511,"Production, processing and preserving of meat and meat products"
020900,"Pig and poultry fat, fresh, chilled, frozen, sa",1511,"Production, processing and preserving of meat and meat products"
021011,"Unboned swine hams, shoulders and cuts thereof,",1511,"Production, processing and preserving of meat and meat products"
021012,"Bellies and cuts thereof of swine, salted... or",1511,"Production, processing and preserving of meat and meat products"
021019,"Meat of swine, salted... or smoked, nes",1511,"Production, processing and preserving of meat and meat products"
021020,"Meat of bovine animals, salted... or smoked",1511,"Production, processing and preserving of meat and meat products"
021090,"Other meat, nes, salted... or smoked; flours an",1511,"Production, processing and preserving of meat and meat products"
030110,Live ornamental fish,0500,"Fishing, operation of fish hatcheries and fish farms; service activities incidental to fishing"
030191,Live trout,0500,"Fishing, operation of fish hatcheries and fish farms; service activities incidental to fishing"
030192,Live eels,0500,"Fishing, operation of fish hatcheries and fish farms; service activities incidental to fishing"
030193,Live carp,0500,"Fishing, operation of fish hatcheries and fish farms; service activities incidental to fishing"
030199,Other live fish,0500,"Fishing, operation of fish hatcheries and fish farms; service activities incidental to fishing"
