SITC Revision 2 Product Code,SITC Revision 2 Product Description,ISIC Revision 2 Product Code,ISIC Revision 2 Product Description
334,"Petroleum products,refined",3530,Petroleum refineries
0013,"Swine, live",1110,Agricultural and livestock production
0015,"Horses, asses, mules and hinnies, live",1110,Agricultural and livestock production
0112,"Meat of sheep and goats, fresh, chilled or frozen",3111,"Slaughtering, preparing and preserving meat"
0113,"Meat of swine, fresh, chilled or frozen",3111,"Slaughtering, preparing and preserving meat"
0114,"Poultry,dead & edible offals ex.liver,fresh/frozen",3111,"Slaughtering, preparing and preserving meat"
0115,"Meat of horses,asses,etc.,fresh,chilled,frozen",3111,"Slaughtering, preparing and preserving meat"
0116,Edible offals of animals in headings 001.1-001.5,3111,"Slaughtering, preparing and preserving meat"
0121,"Bacon,ham & other dried,salted,smoked meat/ swine",3111,"Slaughtering, preparing and preserving meat"
0129,"Meat & edib.offals,n.e.s.salt.in brine dried/smok.",3111,"Slaughtering, preparing and preserving meat"
0141,Meat extracts and meat juices; fish extracts,3111,"Slaughtering, preparing and preserving meat"
0142,"Sausages & the like,of meat,meat offal or blood",3111,"Slaughtering, preparing and preserving meat"
0149,Other prepared or preserved meat or meat offals,3111,"Slaughtering, preparing and preserving meat"
0223,"Milk & cream,fresh,not concentrated or sweetened",3112,Manufacture of dairy products
0230,Butter,3112,Manufacture of dairy products
0240,Cheese and curd,3112,Manufacture of dairy products
0251,Eggs in shell,1110,Agricultural and livestock production
0252,Eggs not in shell,3112,Manufacture of dairy products
0341,"Fish,fresh(live/dead)or chilled,excl.fillets",1301,Ocean and coastal fishing
0342,"Fish,frozen (excluding fillets)",1301,Ocean and coastal fishing
0343,"Fish fillets,fresh or chilled",1301,Ocean and coastal fishing
0344,"Fish fillets,frozen",1301,Ocean and coastal fishing
0360,"Crustaceans and molluscs,fresh,chilled,frozen etc.",1301,Ocean and coastal fishing
0371,"Fish,prepared or preserved,n.e.s. including caviar",3114,"Canning, preserving and processing of fish, crustacea and similar foods"
0372,"Crustaceans and molluscs,prepared or preserved",3114,"Canning, preserving and processing of fish, crustacea and similar foods"
0411,"Durum wheat,unmilled",1110,Agricultural and livestock production
0412,"Other wheat (including spelt) and meslin,unmilled",1110,Agricultural and livestock production
0430,"Barley,unmilled",1110,Agricultural and livestock production
0440,"Maize (corn),unmilled",1110,Agricultural and livestock production
0451,"Rye,unmilled",1110,Agricultural and livestock production
0452,"Oats,unmilled",1110,Agricultural and livestock production
0482,"Malt,roasted or not (including malt flour)",3133,Malt liqors and malt
0483,"Macaroni,spaghetti and similar products",3117,Manufacture of bakery products
0488,"Malt extract;prep.of flour etc,for infant food",3117,Manufacture of bakery products
0541,"Potatoes,fresh or chilled,excl.sweet potatoes",1110,Agricultural and livestock production
0542,"Beans,peas,lentils & other leguminous vegetables",1110,Agricultural and livestock production
0544,"Tomatoes,fresh or chilled",1110,Agricultural and livestock production
0561,"Vegetables,dried,dehydrated or evaporated",3113,Canning and preserving of fruits and vegetables
0573,"Bananas,fresh or dried",1110,Agricultural and livestock production
0574,"Apples,fresh",1110,Agricultural and livestock production
0576,"Figs,fresh or dried",1110,Agricultural and livestock production
0582,"Fruit,fruit-peel & parts of plants,pres. by sugar",3119,"Manufacture of cocoa, chocolate and sugar confectionery"
0583,"Jams,fruit jellies, marmalades,fruit puree,cooked",3113,Canning and preserving of fruits and vegetables
0611,"Sugars,beet and cane,raw,solid",3118,Sugar factories and refineries
0612,Refined sugars and other prod. of ref. beet/cane,3118,Sugar factories and refineries
0615,"Molasses,whether or not decolourized",3118,Sugar factories and refineries
0616,Natural honey,1110,Agricultural and livestock production
0619,Other sugars;sugar syrups;artificial honey;caramel,3118,Sugar factories and refineries
0620,Sugar confectionery and other sugar preparations,3119,"Manufacture of cocoa, chocolate and sugar confectionery"
0712,"Extracts,essences/concent.of coffee & chicory",3121,Manufacture of food products not elsewhere classified
0721,"Cocoa beans,whole or broken,raw or roasted",1110,Agricultural and livestock production
0722,"Cocoa powder,unsweetened",3119,"Manufacture of cocoa, chocolate and sugar confectionery"
0730,Chocolate & other food preptns. containing cocoa,3119,"Manufacture of cocoa, chocolate and sugar confectionery"
0741,Tea,1110,Agricultural and livestock production
0742,Mate,1110,Agricultural and livestock production
0751,Pepper ; pimento,1110,Agricultural and livestock production
