HS 1988/92 Product Code,HS 1988/92 Product Description,SITC Revision 1 Product Code,SITC Revision 1 Product Description
010111,Live pure bred breeding horses,0015,"Horses, asses, mules and hinnies"
010119,"Live horses, other than for pure-bred breeding",0015,"Horses, asses, mules and hinnies"
010120,Live asses mules and hinnies,0015,"Horses, asses, mules and hinnies"
010210,Live pure-bred breeding bovine animals,0011,Bovine cattle including buffaloes
010290,"Live bovine animals, other than pure-bred breed",0011,Bovine cattle including buffaloes
010310,Live pure-bred breeding swine,0013,Swine
010391,Live swine weighing <50kg (excl. pure-bred bree,0013,Swine
010392,Live swine weighing >=50kg (excl. pure-bred bre,0013,Swine
010410,Live sheep,0012,"Sheep, lambs and goats"
010420,Live goats,0012,"Sheep, lambs and goats"
010511,"Live fowls of species Gallus domesticus, weighi",0014,"Poultry ,live"
010519,"Live ducks, geese, turkeys and guinea fowls, we",0014,"Poultry ,live"
010591,Live fowls of species Gallus domesticus (chicke,0014,"Poultry ,live"
010599,"Live ducks, geese, turkeys and guinea fowls, we",0014,"Poultry ,live"
010600,"Other live animals, nes",9410,"Animals, n.e.s."
020110,Fresh or chilled bovine carcasses and half carc,0111,"Meat of bovine animals, fresh, chilled or frozen"
020120,Fresh or chilled unboned bovine meat (excl. car,0111,"Meat of bovine animals, fresh, chilled or frozen"
020130,Fresh or chilled boneless bovine meat,0111,"Meat of bovine animals, fresh, chilled or frozen"
020210,Frozen bovine carcasses and half carcasses,0111,"Meat of bovine animals, fresh, chilled or frozen"
020220,Frozen unboned bovine meat (excl. carcasses),0111,"Meat of bovine animals, fresh, chilled or frozen"
020230,Frozen boneless bovine meat,0111,"Meat of bovine animals, fresh, chilled or frozen"
020311,Fresh or chilled swine carcasses and half carca,0113,"Meat of swine, fresh, chilled or frozen"
020312,"Fresh or chilled unboned hams, shoulders and cu",0113,"Meat of swine, fresh, chilled or frozen"
020319,"Fresh or chilled swine meat, nes (unboned)",0113,"Meat of swine, fresh, chilled or frozen"
020321,Frozen swine carcasses and half carcasses,0113,"Meat of swine, fresh, chilled or frozen"
020322,"Frozen unboned hams, shoulders and cuts thereof",0113,"Meat of swine, fresh, chilled or frozen"
020329,"Frozen swine meat, nes",0113,"Meat of swine, fresh, chilled or frozen"
020410,Fresh or chilled lamb carcasses and half carcas,0112,"Meat of sheep & goats, fresh, chilled or frozen"
020421,Fresh or chilled sheep carcasses and half carca,0112,"Meat of sheep & goats, fresh, chilled or frozen"
020422,Fresh or chilled unboned meat of sheep,0112,"Meat of sheep & goats, fresh, chilled or frozen"
020423,Fresh or chilled boneless meat of sheep,0112,"Meat of sheep & goats, fresh, chilled or frozen"
020430,Frozen lamb carcasses and half carcasses,0112,"Meat of sheep & goats, fresh, chilled or frozen"
020441,Frozen sheep carcasses and half carcasses (excl,0112,"Meat of sheep & goats, fresh, chilled or frozen"
020442,Frozen unboned meat of sheep,0112,"Meat of sheep & goats, fresh, chilled or frozen"
020443,Frozen boned meat of sheep,0112,"Meat of sheep & goats, fresh, chilled or frozen"
020450,"Fresh, chilled or frozen goat meat",0112,"Meat of sheep & goats, fresh, chilled or frozen"
020500,"Meat of horses, asses, mules or hinnies, fresh,",0115,"Meat of horses, asses, mules & hinnies, fr.ch.fro."
020610,Fresh or chilled edible bovine offal,0116,"Edible offals of animals, fresh, chilled, frozen"
020621,Frozen bovine tongues,0116,"Edible offals of animals, fresh, chilled, frozen"
020622,Frozen bovine livers,0116,"Edible offals of animals, fresh, chilled, frozen"
020629,Frozen edible bovine offal (excl. tongues and l,0116,"Edible offals of animals, fresh, chilled, frozen"
020630,Fresh or chilled edible swine offal,0116,"Edible offals of animals, fresh, chilled, frozen"
020641,Frozen swine livers,0116,"Edible offals of animals, fresh, chilled, frozen"
020649,Frozen edible swine offal (excl. livers),0116,"Edible offals of animals, fresh, chilled, frozen"
020680,"Fresh or chilled edible offal of sheep, goats,",0116,"Edible offals of animals, fresh, chilled, frozen"
020690,"Frozen edible offal of sheep, goats, horses...",0116,"Edible offals of animals, fresh, chilled, frozen"
020710,Fresh or chilled whole poultry,0114,"Poultry, incl. offals ex. liver fresh, chilled, frozen"
020721,Frozen whole chickens,0114,"Poultry, incl. offals ex. liver fresh, chilled, frozen"
020722,Frozen whole turkeys,0114,"Poultry, incl. offals ex. liver fresh, chilled, frozen"
020723,"Frozen whole ducks, geese and guinea fowls",0114,"Poultry, incl. offals ex. liver fresh, chilled, frozen"
020731,Fresh or chilled fatty livers of geese or ducks,01181,"Poultry liver, fresh, chilled, frozen salted"
020739,Fresh or chilled poultry cuts and offal (excl.,0114,"Poultry, incl. offals ex. liver fresh, chilled, frozen"
020741,Frozen cuts and offal of chicken (excl. livers),0114,"Poultry, incl. offals ex. liver fresh, chilled, frozen"
020742,Frozen cuts and offal of turkey (excl. livers),0114,"Poultry, incl. offals ex. liver fresh, chilled, frozen"
020743,"Frozen cuts and offal of geese, ducks and guine",0114,"Poultry, incl. offals ex. liver fresh, chilled, frozen"
020750,Frozen poultry livers,01181,"Poultry liver, fresh, chilled, frozen salted"
020810,"Fresh, chilled or frozen meat and edible offal",01189,"Meat & edible offals, n.e.s."
020820,"Fresh, chilled or frozen frogs' legs",01189,"Meat & edible offals, n.e.s."
020890,"Fresh, chilled or frozen meat and edible offal,",01189,"Meat & edible offals, n.e.s."
020900,"Pig and poultry fat, fresh, chilled, frozen, sa",41131,"Pig and poultry fat, unrendered"
021011,"Unboned swine hams, shoulders and cuts thereof,",0121,"Bacon, ham & other dried, salted, smoked pig meat"
021012,"Bellies and cuts thereof of swine, salted... or",0121,"Bacon, ham & other dried, salted, smoked pig meat"
021019,"Meat of swine, salted... or smoked, nes",0121,"Bacon, ham & other dried, salted, smoked pig meat"
021020,"Meat of bovine animals, salted... or smoked",0129,"Meat & edible offals, n.e.s. Dried, salted, smoked"
021090,"Other meat, nes, salted... or smoked; flours an",0138,Other prepared or preserved meat
030110,Live ornamental fish,0311,"Fish, fresh, chilled or frozen"
030191,Live trout,0311,"Fish, fresh, chilled or frozen"
030192,Live eels,0311,"Fish, fresh, chilled or frozen"
030193,Live carp,0311,"Fish, fresh, chilled or frozen"
030199,Other live fish,0311,"Fish, fresh, chilled or frozen"
030211,Fresh or chilled trout,0311,"Fish, fresh, chilled or frozen"
030212,"Fresh or chilled Pacific, Atlantic and Danube s",0311,"Fish, fresh, chilled or frozen"
030219,Fresh or chilled salmonidae (excl. 0302.11 and,0311,"Fish, fresh, chilled or frozen"
030221,Fresh or chilled halibut,0311,"Fish, fresh, chilled or frozen"
030222,Fresh or chilled plaice,0311,"Fish, fresh, chilled or frozen"
030223,Fresh or chilled sole,0311,"Fish, fresh, chilled or frozen"
030229,"Fresh or chilled flat fish (excl. halibut, plai",0311,"Fish, fresh, chilled or frozen"
030231,Fresh or chilled albacore or longfinned tunas,0311,"Fish, fresh, chilled or frozen"
030232,Fresh or chilled yellowfin tunas,0311,"Fish, fresh, chilled or frozen"
030233,Fresh or chilled skipjack or stripe-bellied bon,0311,"Fish, fresh, chilled or frozen"
030239,"Fresh or chilled tunas, nes",0311,"Fish, fresh, chilled or frozen"
030240,Fresh or chilled herrings (excl. livers and roe,0311,"Fish, fresh, chilled or frozen"
030250,Fresh or chilled cod (excl. livers and roes),0311,"Fish, fresh, chilled or frozen"
030261,"Fresh or chilled sardines, brisling or sparts",0311,"Fish, fresh, chilled or frozen"
030262,Fresh or chilled haddock,0311,"Fish, fresh, chilled or frozen"
030263,Fresh or chilled coalfish,0311,"Fish, fresh, chilled or frozen"
030264,Fresh or chilled mackerel,0311,"Fish, fresh, chilled or frozen"
030265,Fresh or chilled dogfish and other sharks,0311,"Fish, fresh, chilled or frozen"
030266,Fresh or chilled eels,0311,"Fish, fresh, chilled or frozen"
030269,"Fresh or chilled fish, nes",0311,"Fish, fresh, chilled or frozen"
030270,Fresh or chilled fish livers and roes,0311,"Fish, fresh, chilled or frozen"
