"SITC, Rev. 2",BEC,Relationship
00111,41,n to 1
00119,111,n to 1
00121,111,n to 1
00122,111,n to 1
0013,111,n to n
0013,41,n to n
00141,111,n to 1
00149,111,n to 1
0015,111,n to n
0015,41,n to n
0019,111,n to n
0019,112,n to n
01111,121,n to n
01111,122,n to n
01112,122,n to 1
0112,121,n to n
0112,122,n to n
0113,121,n to n
0113,122,n to n
0114,122,n to 1
0115,121,n to 1
0116,122,n to 1
01181,122,n to 1
01189,112,n to n
01189,122,n to n
0121,122,n to 1
0129,112,n to n
0129,122,n to n
0141,121,n to 1
0142,122,n to 1
0149,122,n to 1
0223,112,n to n
0223,121,n to n
02241,121,n to 1
02242,112,n to n
02242,121,n to n
02243,112,n to n
02243,121,n to n
02243,122,n to n
02249,112,n to n
02249,121,n to n
02249,122,n to n
0230,122,n to 1
0240,122,n to 1
0251,112,n to 1
0252,121,n to 1
0341,112,n to n
0341,122,n to n
0341,63,n to n
0342,122,n to 1
0343,122,n to 1
0344,122,n to 1
03501,121,n to 1
03502,112,n to n
03502,122,n to n
03503,112,n to n
03503,122,n to n
03504,122,n to 1
0360,112,n to n
0360,122,n to n
0371,122,n to 1
0372,112,n to n
0372,122,n to n
0411,111,n to 1
0412,111,n to 1
04211,111,n to 1
04212,111,n to 1
04221,122,n to 1
04222,122,n to 1
0430,111,n to 1
0440,112,n to n
0440,21,n to n
0451,111,n to 1
0452,21,n to 1
04591,111,n to 1
04592,111,n to 1
04599,111,n to 1
04601,121,n to 1
04602,121,n to 1
04701,121,n to 1
04702,121,n to 1
04811,122,n to 1
04812,122,n to 1
0482,121,n to 1
0483,122,n to 1
04841,122,n to 1
04842,122,n to 1
0488,121,n to n
0488,122,n to n
0541,112,n to n
0541,21,n to n
0542,112,n to 1
0544,112,n to 1
05451,112,n to 1
05459,112,n to 1
05461,112,n to n
05461,122,n to n
05462,122,n to 1
05481,112,n to 1
05482,111,n to 1
05484,111,n to 1
05488,111,n to n
05488,21,n to n
0561,112,n to n
0561,122,n to n
05643,121,n to 1
05645,121,n to 1
05649,121,n to 1
05651,122,n to 1
